ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
más de 5 meses sin actualizar,0,0,3.0,1,0,,no indicado,2 plantas,1,0,35681920,2,,Pozohondo,"Calle Emilia Ibáñez, 33"," Calle Emilia Ibáñez, 33 , Pozohondo , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",150,100,2019-04-12,85000,0,4.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
más de 5 meses sin actualizar,1,0,2.0,1,0,,,planta 1ª exterior,1,0,38420722,1,1,Hellín,"Calle Escritora Carmen Martín Gaite, 19"," Calle Escritora Carmen Martín Gaite, 19 , Hellín , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",123,96,2019-04-12,120000,0,4.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,1,2.0,0,0,,no indicado,planta 2ª exterior,1,0,81138975,1,1,Hellín,"Calle Manuel Díaz Cano, 7"," Calle Manuel Díaz Cano, 7 , Hellín , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",100,,2019-04-12,130000,0,4.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,5.0,0,0,,no indicado,2 plantas,1,0,82171406,2,,Hellín,"Calle Consuelo, 49"," Calle Consuelo, 49 , Hellín , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",1100,,2019-04-12,120000,0,4.0,0,0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,1,1,,no indicado,1 planta,1,1,82010632,3,,Hellín,"Barrio la Horca, 1"," Barrio la Horca, 1 , Hellín , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",1627,120,2019-04-12,230000,0,4.0,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,en trámite,1 planta,0,1,33966349,2,,Tobarra,"pasadizo la vega, 1"," pasadizo la vega, 1 , Tobarra , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",2100,,2019-04-12,98000,0,3.0,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,3.0,1,0,,,2 plantas,1,0,37353277,4,,Pozohondo,"Calle Federico García Lorca, 1"," Calle Federico García Lorca, 1 , Pozohondo , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",100,90,2019-04-12,75000,0,5.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,1,,inmueble exento,2 plantas,0,0,82161598,3,,Liétor,"Calle Portillo, 4"," Calle Portillo, 4 , Liétor , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",94,195,2019-04-12,32000,0,3.0,1,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,1,1.0,0,0,,inmueble exento,planta 3ª exterior,0,0,81220371,1,0,Hellín,"Calle Libertad, 3"," Calle Libertad, 3 , Hellín , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",60,,2019-04-12,20000,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,entreplanta exterior,1,0,31058578,1,0,Tobarra,"Calle mayor, 11"," Calle mayor, 11 , Tobarra , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",230,,2019-04-12,65000,0,4.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
