ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
más de 5 meses sin actualizar,0,1,2.0,0,0,,no indicado,planta 1ª exterior,0,0,81874402,4,0,Castellar de Santiago,"Calle Cervantes, 9"," Calle Cervantes, 9 , Castellar de Santiago , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",175,,2019-04-12,120000,0,4.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
más de 5 meses sin actualizar,0,0,3.0,0,0,,no indicado,,0,0,30521479,5,,Villanueva de los Infantes,"Plaza Doctor Alberdi, 2"," Plaza Doctor Alberdi, 2 , Villanueva de los Infantes , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",600,,2019-04-12,400000,0,4.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
más de 5 meses sin actualizar,1,1,1.0,0,1,,no indicado,2 plantas,1,0,82280528,6,,Alhambra,"Calle Navarra, 53"," Calle Navarra, 53 , Alhambra , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",190,180,2019-04-12,85000,0,5.0,1,0,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 12 de febrero,0,0,1.0,0,0,,no indicado,,0,0,25336138,7,,Cozar,"Calle de la Alameda, 10"," Calle de la Alameda, 10 , Cozar , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",270,,2019-04-12,24000,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 21 de febrero,0,0,1.0,0,1,,no indicado,3 plantas,0,0,84381374,0,,Villanueva de la Fuente,"Calle Aire, 22"," Calle Aire, 22 , Villanueva de la Fuente , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",160,,2019-04-12,45000,0,2.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 26 de febrero,0,0,2.0,0,0,,no indicado,2 plantas,0,0,84437522,1,,Albaladejo,"Calle la Cruz, 5"," Calle la Cruz, 5 , Albaladejo , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",120,,2019-04-12,58000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 27 de febrero,0,0,1.0,0,0,,no indicado,,0,0,84470668,6,,Castellar de Santiago,"CM-3200, 10"," CM-3200, 10 , Castellar de Santiago , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",4760,,2019-04-12,88000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 13 de enero,0,0,1.0,1,0,,no indicado,2 plantas,0,0,26396944,3,,Cozar,"Avenida Ejército Español, 8"," Avenida Ejército Español, 8 , Cozar , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",167,130,2019-04-12,30500,0,4.0,1,0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Anuncio actualizado el 20 de febrero,0,0,3.0,0,0,,no indicado,2 plantas,0,0,34148350,0,,Villanueva de los Infantes,"Calle tejeras, 13"," Calle tejeras, 13 , Villanueva de los Infantes , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",120,,2019-04-12,60000,0,5.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 15 de noviembre,0,0,1.0,0,0,,no indicado,,0,0,83123164,0,,Alhambra,"Calle Gorgotija A, 14"," Calle Gorgotija A, 14 , Alhambra , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",148,,2019-04-12,26000,0,3.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
