province,market_type,model,split,n_samples,MAPE,RMSE,MAE,R2,training_time
madrid,sales,Gradient Boosting,train,2996,0.6469045936004676,1854.817421533873,1376.074967521224,0.9998013628273181,0.3025941848754883
madrid,sales,Gradient Boosting,test,750,1.2193037790622145,5567.111584404943,3022.0196684222756,0.9981216944304441,0.3025941848754883
madrid,sales,Decision Tree,train,2996,1.5117477918106046,5300.078556949195,3360.934033929131,0.9983781047360655,0.005680084228515625
madrid,sales,Decision Tree,test,750,2.816020089942188,11793.38914124572,6758.074179368128,0.99157085253131,0.005680084228515625
albacete,sales,Support Vector Regression,train,2649,43.92339810011884,54083.515637243276,35642.79735092829,0.2258375750864301,0.2913320064544678
albacete,sales,Support Vector Regression,test,663,46.19094115360679,48895.685127116674,34619.967989617624,0.24812604014198836,0.2913320064544678
albacete,sales,Random Forest,train,2649,1.108067521833916,4493.305037133251,1193.0327031054182,0.9946563984867945,0.11162710189819336
albacete,sales,Random Forest,test,663,2.218143162549138,5199.919150461366,1915.4048824268427,0.9914965109943363,0.11162710189819336
albacete,sales,Gradient Boosting,train,2649,0.927114398888112,1183.418144695806,839.5066273373087,0.9996293374521735,0.2695188522338867
albacete,sales,Gradient Boosting,test,663,2.0807582254262558,4330.092263587097,1961.6098198115953,0.9941034461023451,0.2695188522338867
albacete,sales,Decision Tree,train,2649,1.8885215105442104,4156.983909571711,1858.481224401386,0.9954263919245584,0.0057811737060546875
albacete,sales,Decision Tree,test,663,3.7141003419845458,8188.51555751848,3594.800278932341,0.9789130227661508,0.0057811737060546875
alava,sales,Support Vector Regression,train,2176,36.13889306306183,93488.12071612173,62875.23550674552,0.10788731078478431,0.19631481170654297
alava,sales,Support Vector Regression,test,544,38.01464579301483,105467.0002645522,68989.73253938103,0.06589926784280464,0.19631481170654297
alava,sales,Random Forest,train,2176,1.3515543692152403,6212.300538513019,2470.199584220086,0.9960607660615277,0.10560798645019531
alava,sales,Random Forest,test,544,3.0608725933232326,11872.844121462478,5152.352177598783,0.9881622256609623,0.10560798645019531
alava,sales,Gradient Boosting,train,2176,0.6989215110017936,1621.3242781946863,1201.7148395477577,0.9997316839639796,0.2318251132965088
alava,sales,Gradient Boosting,test,544,2.409862786307833,10081.782081837595,4349.414837390431,0.9914643787354583,0.2318251132965088
alava,sales,Decision Tree,train,2176,1.9008491584685756,6108.394050319486,3427.5581881415546,0.9961914387168789,0.004495143890380859
alava,sales,Decision Tree,test,544,4.855476711323125,15688.191670972763,8542.00481012124,0.9793316266355377,0.004495143890380859
zamora,sales,Support Vector Regression,train,1912,59.54654657410971,52200.61046971967,37959.399482752095,0.1761146453893575,0.15183115005493164
zamora,sales,Support Vector Regression,test,478,61.45044947149757,52982.19600812113,37844.866279475566,0.17203710277359796,0.15183115005493164
zamora,sales,Random Forest,train,1912,1.2829565290543181,2789.418732702514,1094.54210927743,0.9976474273421457,0.09773397445678711
zamora,sales,Random Forest,test,478,3.602338642577305,6066.045768966176,2217.294716497872,0.9891466869176366,0.09773397445678711
zamora,sales,Gradient Boosting,train,1912,0.7980114715417785,818.9579226468642,613.9466002117617,0.9997972136135965,0.22161364555358887
zamora,sales,Gradient Boosting,test,478,3.15638974118275,5776.9897594580925,2166.480499995235,0.9901563953903896,0.22161364555358887
zamora,sales,Decision Tree,train,1912,1.994879241808305,2708.939217606169,1718.2070550650624,0.9977812205231834,0.004357814788818359
zamora,sales,Decision Tree,test,478,5.78103758537246,10356.030610358079,4539.286886428919,0.968367201384907,0.004357814788818359
valladolid,sales,Support Vector Regression,train,1551,39.57814324450544,63014.77562317816,44577.75970136372,0.13472400429771714,0.10248017311096191
valladolid,sales,Support Vector Regression,test,388,34.28364378026551,60208.32994825988,40937.12301165335,0.13173734426056494,0.10248017311096191
valladolid,sales,Random Forest,train,1551,1.2670322305380874,5066.098460656253,1679.8800683625163,0.9944073567150149,0.08468794822692871
valladolid,sales,Random Forest,test,388,2.072357568725204,8273.72241058163,3080.9021451684007,0.9836039266635304,0.08468794822692871
valladolid,sales,Gradient Boosting,train,1551,0.6845329261315338,1068.5382181576042,776.6337597714725,0.9997512002225484,0.17536115646362305
valladolid,sales,Gradient Boosting,test,388,1.8417812011597665,6359.334828982391,2717.6372402703355,0.9903136235344693,0.17536115646362305
valladolid,sales,Decision Tree,train,1551,1.9040153085901088,5274.7216952511935,2415.800253822212,0.9939372596636917,0.003389120101928711
valladolid,sales,Decision Tree,test,388,3.999330513973249,12606.552187010619,5810.939163197084,0.9619345811977317,0.003389120101928711
sevilla,sales,Support Vector Regression,train,1468,54.97441439496391,66040.10035247235,52102.856085045554,0.1819360786736729,0.09235310554504395
