price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,air_conditioner,balcony,built_in_wardrobe,chimney,garage,garden,lift,reduced_mobility,storage_room,swimming_pool,terrace,province,market_type,price_per_m2,property_age,room_density,luxury_score,accessibility_score,space_efficiency
1600,3.0,3.0,15,82925989,150,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,bizkaia,rental,10.666666666666666,49.0,0.02,1.0,1.0,0.5666666666666667
1300,2.0,2.0,15,82940858,90,85.0,Getxo,"Gran Bilbao, Vizcaya",1976.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,bizkaia,rental,14.444444444444445,49.0,0.022222222222222223,1.0,1.0,0.9444444444444444
675,2.0,2.0,15,83640689,80,85.0,Amorebieta-Echano,"Duranguesado, Vizcaya",1976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bizkaia,rental,8.4375,49.0,0.025,0.0,0.0,1.0
550,1.0,2.0,17,28649056,72,60.0,Gauteguiz de Arteaga,"Busturialdea, Vizcaya",1976.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,bizkaia,rental,7.638888888888889,49.0,0.027777777777777776,1.0,0.0,0.8333333333333334
825,1.0,2.0,15,83844446,75,65.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bizkaia,rental,11.0,49.0,0.02666666666666667,0.0,0.0,0.8666666666666667
1275,2.0,3.0,15,84255451,90,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,bizkaia,rental,14.166666666666666,49.0,0.03333333333333333,0.0,1.0,0.9444444444444444
750,1.0,1.0,15,84451444,50,85.0,Getxo,"Gran Bilbao, Vizcaya",1976.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bizkaia,rental,15.0,49.0,0.02,0.0,0.0,1.0
750,1.0,2.0,15,84608619,80,70.0,Leioa,"Gran Bilbao, Vizcaya",1976.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,bizkaia,rental,9.375,49.0,0.025,0.0,1.0,0.875
900,1.0,1.0,15,84614681,51,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,bizkaia,rental,17.647058823529413,49.0,0.0196078431372549,0.0,1.0,1.0
950,2.0,2.0,15,84760598,65,60.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,bizkaia,rental,14.615384615384615,49.0,0.03076923076923077,0.0,1.0,0.9230769230769231
950,1.0,1.0,15,84771785,60,85.0,Getxo,"Gran Bilbao, Vizcaya",1976.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,bizkaia,rental,15.833333333333334,49.0,0.016666666666666666,1.0,1.0,1.0
850,1.0,1.0,15,84772182,50,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,bizkaia,rental,17.0,49.0,0.02,0.0,1.0,1.0
850,1.0,2.0,15,83050250,65,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bizkaia,rental,13.076923076923077,49.0,0.03076923076923077,0.0,0.0,1.0
1000,2.0,3.0,15,83733990,115,100.0,Portugalete,"Gran Bilbao, Vizcaya",1976.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,bizkaia,rental,8.695652173913043,49.0,0.02608695652173913,1.0,2.0,0.8695652173913043
1385,2.0,3.0,15,83774608,105,98.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,bizkaia,rental,13.19047619047619,49.0,0.02857142857142857,1.0,1.0,0.9333333333333333
1150,1.0,3.0,15,84096212,85,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,bizkaia,rental,13.529411764705882,49.0,0.03529411764705882,0.0,1.0,1.0
850,1.0,2.0,15,84272834,65,85.0,Getxo,"Gran Bilbao, Vizcaya",1976.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bizkaia,rental,13.076923076923077,49.0,0.03076923076923077,0.0,0.0,1.0
800,2.0,3.0,15,84331400,80,75.0,Gorliz,"Uribe-Butroe, Vizcaya",1976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bizkaia,rental,10.0,49.0,0.0375,0.0,0.0,0.9375
900,2.0,1.0,17,84416384,70,60.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,bizkaia,rental,12.857142857142858,49.0,0.014285714285714285,3.0,1.0,0.8571428571428571
700,1.0,1.0,17,83870794,45,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,bizkaia,rental,15.555555555555555,49.0,0.022222222222222223,0.0,1.0,1.0
1100,2.0,3.0,15,37143235,107,85.0,Berango,"Uribe-Butroe, Vizcaya",1976.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,bizkaia,rental,10.280373831775702,49.0,0.028037383177570093,1.0,1.0,0.794392523364486
