price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,garage,province,market_type,price_per_m2,property_age,room_density,luxury_score,space_efficiency
200000.0,3.0,3.0,3,83944579,105.0,87.0,Alegria-Dulantzi,"Salvatierra, Álava",1993.0,0.0,alava,sales,1904.7619047619048,32.0,0.02857142857142857,0.0,0.8285714285714286
160000.0,2.0,3.0,3,25567350,90.0,87.0,Alegria-Dulantzi,"Salvatierra, Álava",1993.0,1.0,alava,sales,1777.7777777777778,32.0,0.03333333333333333,1.0,0.9666666666666667
250000.0,3.0,3.0,6,32489259,163.0,145.0,Iruraiz-Gauna,"Salvatierra, Álava",1993.0,1.0,alava,sales,1533.7423312883436,32.0,0.018404907975460124,1.0,0.8895705521472392
157000.0,2.0,3.0,3,32627004,75.0,74.0,Salvatierra,Álava,1993.0,0.0,alava,sales,2093.3333333333335,32.0,0.04,0.0,0.9866666666666667
200000.0,2.0,2.0,9,36344484,81.0,75.0,Alegria-Dulantzi,"Salvatierra, Álava",1993.0,0.0,alava,sales,2469.135802469136,32.0,0.024691358024691357,0.0,0.9259259259259259
110000.0,1.0,3.0,3,1937637,100.0,80.0,Salvatierra,Álava,1993.0,0.0,alava,sales,1100.0,32.0,0.03,0.0,0.8
110000.0,1.0,3.0,3,2100224,88.0,84.0,Alegria-Dulantzi,"Salvatierra, Álava",1993.0,0.0,alava,sales,1250.0,32.0,0.03409090909090909,0.0,0.9545454545454546
121500.0,1.0,2.0,1,25981846,62.0,56.0,Alegria-Dulantzi,"Salvatierra, Álava",1993.0,0.0,alava,sales,1959.6774193548388,32.0,0.03225806451612903,0.0,0.9032258064516129
72000.0,1.0,3.0,3,27474549,75.0,87.0,Salvatierra,Álava,1993.0,0.0,alava,sales,960.0,32.0,0.04,0.0,1.0
122000.0,2.0,3.0,3,28638263,115.0,90.0,Asparrena,"Salvatierra, Álava",2008.0,1.0,alava,sales,1060.8695652173913,17.0,0.02608695652173913,1.0,0.782608695652174
130000.0,2.0,3.0,3,31310135,75.0,87.0,Salvatierra,Álava,1993.0,1.0,alava,sales,1733.3333333333333,32.0,0.04,1.0,1.0
118000.0,1.0,2.0,3,31881497,79.0,71.0,Salvatierra,Álava,1993.0,1.0,alava,sales,1493.6708860759493,32.0,0.02531645569620253,1.0,0.8987341772151899
330000.0,3.0,3.0,5,33240403,275.0,87.0,Alegria-Dulantzi,"Salvatierra, Álava",1993.0,1.0,alava,sales,1200.0,32.0,0.01090909090909091,1.0,0.31636363636363635
92000.0,1.0,3.0,3,33924905,79.0,87.0,Salvatierra,Álava,1993.0,0.0,alava,sales,1164.5569620253164,32.0,0.0379746835443038,0.0,1.0
192000.0,1.0,3.0,3,34294085,121.0,104.0,Salvatierra,Álava,1993.0,0.0,alava,sales,1586.7768595041323,32.0,0.024793388429752067,0.0,0.859504132231405
115000.0,2.0,3.0,3,37975218,86.0,75.0,Salvatierra,Álava,1993.0,1.0,alava,sales,1337.2093023255813,32.0,0.03488372093023256,1.0,0.872093023255814
113000.0,1.0,2.0,3,40058614,65.0,52.0,Salvatierra,Álava,1993.0,0.0,alava,sales,1738.4615384615386,32.0,0.03076923076923077,0.0,0.8
118000.0,2.0,3.0,3,40417963,83.0,75.0,Salvatierra,Álava,2011.0,1.0,alava,sales,1421.686746987952,14.0,0.03614457831325301,1.0,0.9036144578313253
72000.0,1.0,3.0,3,83604192,70.0,87.0,Asparrena,"Salvatierra, Álava",1993.0,0.0,alava,sales,1028.5714285714287,32.0,0.04285714285714286,0.0,1.0
