ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 2 de abril,0,0,2.0,1,0,,,planta 3ª exterior,1,0,1884906,14,1,Soria,Distrito Zona Polideportivos Asperon - Mariano Vicen," Calle Almazan, 15 , Distrito Zona Polideportivos Asperon - Mariano Vicen , Soria , Área de Soria, Soria ","Calle Almazan, 15","Área de Soria, Soria",150,130,2019-04-11,980,0,4.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 27 de marzo,0,0,1.0,0,0,,no indicado,planta 3ª exterior,0,0,2039774,14,1,Soria,Distrito Centro," Calle Medinaceli, 5 , Distrito Centro , Soria , Área de Soria, Soria ","Calle Medinaceli, 5","Área de Soria, Soria",88,69,2019-04-11,550,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 12 de febrero,0,0,3.0,0,0,,no indicado,2 plantas,0,1,25093027,18,,Cidones,"Calle Cidones, 1"," Calle Cidones, 1 , Cidones , Área de Soria, Soria ",,"Área de Soria, Soria",360,110,2019-04-11,1000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 8 de abril,0,0,2.0,1,0,,,planta 4ª exterior,1,1,25832613,14,1,Soria,Distrito Avda de Valladolid," Avenida Valladolid, 55 , Distrito Avda de Valladolid , Soria , Área de Soria, Soria ","Avenida Valladolid, 55","Área de Soria, Soria",60,55,2019-04-11,450,1,1.0,1,1,1,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 8 de abril,0,0,2.0,1,0,,no indicado,planta 4ª exterior,1,1,2030275,14,1,Soria,Distrito Calaverón - Pajaritos," Calle Gonzalo de Berceo, 2 , Urb. LA SOLANA , Distrito Calaverón - Pajaritos , Soria , Área de Soria, Soria ",Urb. LA SOLANA,"Área de Soria, Soria",120,90,2019-04-11,550,0,3.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 3 de marzo,0,0,2.0,0,0,,en trámite,planta 1ª exterior,1,0,28384015,14,0,San Leonardo de Yague,"Plaza Alfonso X el Sabio, 5"," Plaza Alfonso X el Sabio, 5 , San Leonardo de Yague , Pinares y Tierras Altas, Soria ",,"Pinares y Tierras Altas, Soria",94,90,2019-04-11,400,0,4.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 31 de marzo,0,0,1.0,1,0,,en trámite,bajo exterior,0,0,30318974,14,0,San Leonardo de Yague,"Calle San Pedro, 11"," Calle San Pedro, 11 , San Leonardo de Yague , Pinares y Tierras Altas, Soria ",,"Pinares y Tierras Altas, Soria",90,85,2019-04-11,300,0,3.0,1,0,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 7 de abril,0,0,2.0,1,0,,,planta 2ª exterior,1,0,84476809,14,1,Vinuesa,"Calle la mata, 50"," Calle la mata, 50 , Vinuesa , Pinares y Tierras Altas, Soria ",,"Pinares y Tierras Altas, Soria",78,,2019-04-11,390,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Anuncio actualizado el 8 de abril,0,0,1.0,0,0,,no indicado,planta 2ª exterior,0,0,82076470,14,0,Arcos de Jalon,"Calle marqués de casablanca, 4"," Calle marqués de casablanca, 4 , Arcos de Jalon , Almazán, Soria ",,"Almazán, Soria",75,,2019-04-11,300,0,3.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 1 de abril,0,0,2.0,1,0,,no indicado,planta 2ª exterior,0,0,34999924,14,0,Burgo de Osma-Ciudad de Osma,"Calle Soria, 8 , 2I"," Calle Soria, 8 , 2I , Burgo de Osma-Ciudad de Osma , Burgo de Osma, Soria ",,"Burgo de Osma, Soria",115,,2019-04-11,600,0,4.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
