ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
más de 5 meses sin actualizar,0,0,1.0,1,0,,no indicado,planta 4ª exterior,0,0,28490476,0,0,Almazan,"Calle Monjas, 18"," Calle Monjas, 18 , Almazan , Almazán, Soria ",,"Almazán, Soria",120,110,2019-04-11,55000,0,4.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,1 planta,0,0,26786978,1,,Muriel Viejo,Carretera s/n," Carretera s/n , Muriel Viejo , Pinares y Tierras Altas, Soria ",,"Pinares y Tierras Altas, Soria",140,100,2019-04-11,36000,0,4.0,1,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,1 planta,1,0,1898650,1,,San esteban de Gormaz,"Calle Elias Alvarez, 35"," Calle Elias Alvarez, 35 , San esteban de Gormaz , Burgo de Osma, Soria ",,"Burgo de Osma, Soria",212,,2019-04-11,60000,0,3.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,1,0,,en trámite,planta 1ª exterior,1,0,35791499,4,1,Golmayo,"Calle Iglesia, 11"," Calle Iglesia, 11 , Golmayo , Área de Soria, Soria ",,"Área de Soria, Soria",50,45,2019-04-11,85000,0,0.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,3 plantas,0,0,81164676,5,,Fuentestrun,"Calle Cantarranas, 17"," Calle Cantarranas, 17 , Fuentestrun , Área de Soria, Soria ",,"Área de Soria, Soria",150,,2019-04-11,10000,0,5.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,3 plantas,0,0,32048550,3,,Olvega,"Calle real, 36"," Calle real, 36 , Olvega , Área de Soria, Soria ",,"Área de Soria, Soria",210,180,2019-04-11,25000,0,5.0,1,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,2 plantas,0,0,82800084,3,,Soria,Distrito Avda de Valladolid," Calle Iglesia, 15 , Distrito Avda de Valladolid , Soria , Área de Soria, Soria ","Calle Iglesia, 15","Área de Soria, Soria",120,,2019-04-11,10000,0,5.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,2 plantas,1,0,393596,1,,Baraona,"Calle Real, 16"," Calle Real, 16 , Baraona , Almazán, Soria ",,"Almazán, Soria",300,,2019-04-11,140000,0,5.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,planta 1ª exterior,1,0,33897221,0,1,Vinuesa,"Avenida constitución, 81"," Avenida constitución, 81 , Vinuesa , Pinares y Tierras Altas, Soria ",,"Pinares y Tierras Altas, Soria",55,,2019-04-11,100000,0,1.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
más de 5 meses sin actualizar,0,0,0.0,0,0,,no indicado,3 plantas,0,0,34086484,6,,Yanguas,"Calle del arrabal, 4"," Calle del arrabal, 4 , Yanguas , Pinares y Tierras Altas, Soria ",,"Pinares y Tierras Altas, Soria",700,,2019-04-11,160000,0,0.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
