ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_calefacción individual: gasoil,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
más de 5 meses sin actualizar,0,0,1.0,0,1,,no indicado,2 plantas,1,1,40097721,2,,Villardondiego,"Calle Silos, 11"," Calle Silos, 11 , Villardondiego , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",473,,2019-04-11,120000,0,3.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 1 de abril,0,0,2.0,0,0,,no indicado,,0,0,84159054,0,,Toro,," , Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",94,80,2019-04-11,62400,0,3.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 19 de septiembre,0,0,2.0,0,0,1988,no indicado,planta 1ª exterior,0,0,27230454,0,0,Toro,," , Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",133,116,2019-04-11,143250,0,4.0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 27 de septiembre,0,0,1.0,0,0,1900,no indicado,,0,1,27230474,6,,Villavendimio,," , Villavendimio , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",138,120,2019-04-11,90000,0,4.0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 5 de marzo,0,0,1.0,1,0,,no indicado,planta 2ª exterior,0,0,33088895,0,0,Toro,"Avenida de carlos pinilla, 45"," Avenida de carlos pinilla, 45 , Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",90,,2019-04-11,50000,0,3.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 27 de septiembre,0,0,1.0,0,0,,no indicado,,0,1,27230146,6,,Fuentesecas,," , Fuentesecas , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",575,500,2019-04-11,63200,0,5.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 27 de septiembre,0,0,1.0,0,0,,no indicado,,0,1,27230121,6,,Villalonso,," , Villalonso , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",172,150,2019-04-11,96000,0,5.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 26 de diciembre,0,0,1.0,0,1,,no indicado,1 planta,1,0,36498149,2,,Pozoantiguo,"Calle Fresno, 1"," Calle Fresno, 1 , Pozoantiguo , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",650,,2019-04-11,22000,0,3.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 8 de enero,0,0,6.0,0,0,,no indicado,2 plantas,1,0,83769399,1,,Toro,"Calle Juan II, 3"," Calle Juan II, 3 , Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",208,,2019-04-11,560000,0,8.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 10 de marzo,0,0,1.0,0,0,,no indicado,,0,0,83903714,2,,Villardondiego,"Calle Silos, 26"," Calle Silos, 26 , Villardondiego , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",400,,2019-04-11,25000,0,4.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 27 de noviembre,0,0,2.0,1,0,,en trámite,planta 2ª exterior,1,0,33549155,0,1,Toro,"Plaza conde duque de olivares, 2"," Plaza conde duque de olivares, 2 , Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",106,89,2019-04-11,150000,0,2.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 3 de diciembre,0,0,2.0,0,0,,no indicado,planta 2ª exterior,1,0,34294207,0,1,Toro,"Plaza de los cubos, 1"," Plaza de los cubos, 1 , Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",90,85,2019-04-11,110000,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 7 de abril,0,0,1.0,0,1,,no indicado,2 plantas,0,0,81190805,2,,Toro,"Calle Toro, 5 N"," Calle Toro, 5 N , Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",90,60,2019-04-11,24750,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 26 de diciembre,0,0,1.0,0,1,,no indicado,1 planta,1,0,36498129,2,,Pozoantiguo,"Calle Mesones, 8"," Calle Mesones, 8 , Pozoantiguo , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",90,,2019-04-11,15000,0,2.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 2 de enero,0,0,2.0,0,0,,no indicado,,0,0,83722939,3,,Venialbo,"Calle Santa Lucía, 31"," Calle Santa Lucía, 31 , Venialbo , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",600,,2019-04-11,168000,0,4.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 11 de enero,0,0,1.0,0,0,,no indicado,1 planta,1,0,83819549,2,,Toro,"Cuesta Cavila, 14"," Cuesta Cavila, 14 , Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",180,,2019-04-11,70000,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 24 de enero,0,0,1.0,0,0,,no indicado,2 plantas,0,0,83966444,1,,Toro,"Calle Fraguas, 30"," Calle Fraguas, 30 , Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",500,,2019-04-11,100000,0,3.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 1 de abril,0,0,2.0,0,0,,no indicado,,0,0,84159057,7,,Vezdemarban,," , Vezdemarban , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",318,,2019-04-11,24050,0,3.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 10 de abril,0,0,2.0,0,0,,no indicado,,0,0,84393537,0,,Toro,," , Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",88,73,2019-04-11,108500,0,2.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 8 de abril,0,1,1.0,0,1,,no indicado,2 plantas,1,0,27403106,2,,Vezdemarban,"Calle Castillo, 3"," Calle Castillo, 3 , Vezdemarban , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",251,,2019-04-11,35000,0,5.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 21 de enero,0,0,2.0,0,0,,no indicado,planta 3ª exterior,0,0,36437978,0,0,Toro,"Travesía Luis Rodríguez de Miguel, 37"," Travesía Luis Rodríguez de Miguel, 37 , Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",130,,2019-04-11,85000,0,4.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 11 de febrero,0,0,2.0,0,0,,no indicado,2 plantas,0,0,36477668,1,,Toro,"Cuesta Empedrada, 27"," Cuesta Empedrada, 27 , Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",120,,2019-04-11,34000,0,5.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
