ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 23 de febrero,0,0,1.0,0,1,1993.0,en trámite,2 plantas,0,0,81620945,2,1.0,Legutiano,"Calle Elizaldea, 6"," Calle Elizaldea, 6 , Legutiano , Zuya, Álava ",,"Zuya, Álava",100,87.0,2019-03-29,100000,0,2.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Anuncio actualizado el 10 de diciembre,0,0,1.0,1,0,1993.0,en trámite,1 planta,0,1,82597515,2,1.0,Urcabustaiz,"Plaza La Ermita, 1449"," Plaza La Ermita, 1449 , Urcabustaiz , Zuya, Álava ",,"Zuya, Álava",100,86.0,2019-03-29,150000,0,4.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 25 de marzo,0,0,1.0,0,0,1993.0,inmueble exento,3 plantas,0,0,82820791,2,1.0,Zuya,"Carretera general, 19"," Carretera general, 19 , Zuya , Álava ",,Álava,1228,87.0,2019-03-29,250000,0,8.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 26 de marzo,0,0,2.0,0,0,1993.0,no indicado,2 plantas,0,1,83702970,7,1.0,Aramaio,"Barajuen Entitatea, 9"," Barajuen Entitatea, 9 , Aramaio , Zuya, Álava ",,"Zuya, Álava",350,87.0,2019-03-29,189000,0,4.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 18 de marzo,0,0,1.0,1,0,1993.0,,planta 2ª exterior,0,0,25555209,3,0.0,Legutiano,"Elixoste, 1"," Elixoste, 1 , Legutiano , Zuya, Álava ",,"Zuya, Álava",64,58.0,2019-03-29,100000,0,2.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Anuncio actualizado el 17 de marzo,0,0,1.0,1,0,1993.0,en trámite,bajo exterior,0,0,27371084,3,0.0,Legutiano,"Calle Comercio Kalea, 17"," Calle Comercio Kalea, 17 , Legutiano , Zuya, Álava ",,"Zuya, Álava",63,60.0,2019-03-29,150000,0,2.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 3 de diciembre,0,0,2.0,1,0,1993.0,no indicado,2 plantas,1,1,25212918,0,1.0,Zigoitia,"Calle de Ibarbetxi, 2"," Calle de Ibarbetxi, 2 , Zigoitia , Zuya, Álava ",,"Zuya, Álava",2000,87.0,2019-03-29,372000,0,3.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Anuncio actualizado el 14 de enero,0,0,1.0,0,0,1993.0,en trámite,2 plantas,0,0,83216191,0,1.0,Legutiano,," , Legutiano , Zuya, Álava ",,"Zuya, Álava",1220,87.0,2019-03-29,390000,0,1.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 25 de febrero,0,0,2.0,1,0,1993.0,no indicado,2 plantas,1,1,36179481,5,1.0,Urcabustaiz,"Beluntzabidea Bidea, 13"," Beluntzabidea Bidea, 13 , Urcabustaiz , Zuya, Álava ",,"Zuya, Álava",121,90.0,2019-03-29,168284,0,3.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 31 de enero,0,0,2.0,0,0,1982.0,en trámite,,1,1,38487536,6,1.0,Zigoitia,," , Zigoitia , Zuya, Álava ",,"Zuya, Álava",260,238.0,2019-03-29,355000,0,4.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
