ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_sur,"orientation_sur, este","orientation_sur, oeste"
más de 5 meses sin actualizar,0,0,1.0,1,0,1996.0,en trámite,planta 4ª exterior,0,0,29485790,0,1.0,Vilafranca del Penedès,Distrito Les Clotes," Calle de Font-Rubí, 6 , Distrito Les Clotes , Vilafranca del Penedès , Alt Penedès, Barcelona ","Calle de Font-Rubí, 6","Alt Penedès, Barcelona",72,99.0,2019-04-12,86500,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,1996.0,no indicado,2 plantas,0,0,35717962,4,1.0,Sant Llorenç d'Hortons,"Calle la Beguda Baixa, 38"," Calle la Beguda Baixa, 38 , Sant Llorenç d'Hortons , Alt Penedès, Barcelona ",,"Alt Penedès, Barcelona",500,99.0,2019-04-12,250000,0,4.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,1996.0,no indicado,planta 1ª exterior,1,0,36290566,0,0.0,Mediona,"Calle Pompeu Fabra, 2"," Calle Pompeu Fabra, 2 , Mediona , Alt Penedès, Barcelona ",,"Alt Penedès, Barcelona",100,99.0,2019-04-12,110000,0,4.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,1996.0,no indicado,2 plantas,1,0,37314662,2,1.0,Torrelles de Foix,"Calle Gira-Sol, 11"," Calle Gira-Sol, 11 , Torrelles de Foix , Alt Penedès, Barcelona ",,"Alt Penedès, Barcelona",1425,99.0,2019-04-12,180000,0,7.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,1996.0,no indicado,planta 2ª exterior,1,0,30437527,3,1.0,Sant Martí Sarroca,"Avenida del Castell, 1"," Avenida del Castell, 1 , Sant Martí Sarroca , Alt Penedès, Barcelona ",,"Alt Penedès, Barcelona",100,99.0,2019-04-12,130000,0,2.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,1996.0,en trámite,,0,0,38941995,2,1.0,Mediona,Urb. Sant Elies," C 17, 262 , Urb. Sant Elies , Mediona , Alt Penedès, Barcelona ","C 17, 262","Alt Penedès, Barcelona",2200,99.0,2019-04-12,110000,0,2.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,1996.0,,planta 2ª exterior,0,0,39198134,0,1.0,Sant Martí Sarroca,"Rambla de Catalunya, 12"," Rambla de Catalunya, 12 , Sant Martí Sarroca , Alt Penedès, Barcelona ",,"Alt Penedès, Barcelona",62,61.0,2019-04-12,81850,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,1996.0,no indicado,planta 1ª exterior,0,0,82326168,0,1.0,Torrelavit,"Calle Puigcugul, 11"," Calle Puigcugul, 11 , Torrelavit , Alt Penedès, Barcelona ",,"Alt Penedès, Barcelona",82,99.0,2019-04-12,165000,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,1996.0,no indicado,bajo exterior,1,0,82392157,0,1.0,Vilafranca del Penedès,Distrito La Girada," Avenida de Lluís Companys, 38 , Distrito La Girada , Vilafranca del Penedès , Alt Penedès, Barcelona ","Avenida de Lluís Companys, 38","Alt Penedès, Barcelona",114,99.0,2019-04-12,200000,0,4.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,1,2.0,1,0,1996.0,no indicado,planta 2ª exterior,0,0,1812711,3,1.0,Sant Martí Sarroca,"Avenida del Castell, 7"," Avenida del Castell, 7 , Sant Martí Sarroca , Alt Penedès, Barcelona ",,"Alt Penedès, Barcelona",115,100.0,2019-04-12,199000,0,3.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
