price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,air_conditioner,balcony,built_in_wardrobe,chimney,garage,garden,lift,reduced_mobility,storage_room,swimming_pool,terrace,energetic_certif,floor,loc_district,loc_neigh,obtention_date,ad_last_update
850,2.0,2.0,15,84173239,75,70.0,Vitoria-Gasteiz,Álava,1993.0,0,0,1,0,0,0,1.0,0,1,0,1,,planta 6ª exterior,Distrito Lovaina - Aranzabal,Adriano VI,2019-03-29,Anuncio actualizado el 15 de marzo
685,1.0,3.0,15,83901805,75,87.0,Vitoria-Gasteiz,Álava,1993.0,0,1,1,0,0,0,1.0,0,1,0,0,en trámite,planta 3ª,Distrito Txagorritxu - El Pilar,Calle Arriagako Atea,2019-03-29,Anuncio actualizado el 6 de marzo
800,1.0,2.0,15,2121147,65,87.0,Vitoria-Gasteiz,Álava,1993.0,0,0,0,0,1,0,1.0,0,1,0,0,en trámite,planta 2ª exterior,Distrito Casco Viejo,"Plaza España, 5",2019-03-29,Anuncio actualizado el 24 de marzo
980,2.0,3.0,15,84656283,70,60.0,Vitoria-Gasteiz,Álava,1993.0,0,1,0,0,0,0,0.0,0,1,0,0,no indicado,planta 1ª exterior,Distrito Casco Viejo,"Calle Nueva Fuera, 28",2019-03-29,Anuncio actualizado el 24 de marzo
700,2.0,3.0,17,84664242,110,90.0,Alegria-Dulantzi,"Salvatierra, Álava",1993.0,0,0,0,0,1,0,1.0,0,1,0,1,en trámite,bajo exterior,"Calle Larrara, 12",,2019-03-29,Anuncio actualizado el 24 de marzo
700,1.0,1.0,15,84322089,60,50.0,Vitoria-Gasteiz,Álava,1993.0,0,0,1,0,0,0,1.0,0,0,0,0,en trámite,,Distrito Casco Viejo,,2019-03-29,Anuncio actualizado el 27 de marzo
1200,3.0,6.0,16,82878902,275,87.0,Iruña de Oca,"Añana, Álava",1993.0,0,0,1,0,1,0,1.0,0,1,0,1,,,,,2019-03-29,Anuncio actualizado el 28 de febrero
810,2.0,2.0,15,83554123,121,99.0,Vitoria-Gasteiz,Álava,1993.0,0,0,1,0,0,1,1.0,0,0,1,0,,,Distrito Casco Viejo,,2019-03-29,Anuncio actualizado el 19 de febrero
2000,3.0,5.0,21,33958046,280,250.0,Vitoria-Gasteiz,Álava,1993.0,0,0,0,0,0,1,1.0,0,0,0,0,inmueble exento,,Distrito Zona rural este,,2019-03-29,Anuncio actualizado el 31 de enero
765,1.0,2.0,15,84180864,75,70.0,Vitoria-Gasteiz,Álava,1993.0,0,1,1,0,1,1,1.0,1,0,0,0,no indicado,planta 3ª exterior,Distrito Salburua,Urb. piso tutelado,2019-03-29,Anuncio actualizado el 27 de marzo
900,2.0,2.0,15,36884771,80,87.0,Vitoria-Gasteiz,Álava,1993.0,0,0,1,0,0,0,1.0,0,0,0,0,,planta 3ª exterior,Distrito Centro,"Calle Florida, 34",2019-03-29,Anuncio actualizado el 25 de marzo
3000,4.0,4.0,16,34084345,1500,180.0,Vitoria-Gasteiz,Álava,1993.0,0,0,1,0,1,1,1.0,0,0,0,1,en trámite,1 planta,Distrito Armentia - Ciudad Jardín,Urb. Ander Fernandez Arrizabalaga,2019-03-29,Anuncio actualizado el 4 de marzo
850,2.0,2.0,15,82718958,70,68.0,Vitoria-Gasteiz,Álava,1993.0,0,0,1,0,0,1,1.0,1,0,0,0,,planta 2ª exterior,Distrito Lovaina - Aranzabal,"Calle Vicente Goicoechea, 8",2019-03-29,Anuncio actualizado el 24 de marzo
1800,2.0,3.0,15,84541850,140,120.0,Vitoria-Gasteiz,Álava,1993.0,0,0,0,0,1,0,1.0,0,0,0,0,,planta 4ª exterior,Distrito Centro,"Calle Olaguíbel, Vitoria-Gasteiz",2019-03-29,Anuncio actualizado el 23 de marzo
865,2.0,2.0,22,35531431,80,72.0,Vitoria-Gasteiz,Álava,1993.0,0,0,1,0,1,0,1.0,1,0,0,1,,planta 6ª exterior,Distrito Santiago - El Anglo,"Calle Logroño, 14",2019-03-29,Anuncio actualizado el 18 de marzo
1320,2.0,4.0,15,81143617,144,120.0,Vitoria-Gasteiz,Álava,1993.0,0,0,0,0,0,0,1.0,0,0,0,1,en trámite,planta 1ª exterior,Distrito Zabalgana - Ariznabarra,ariznavarra,2019-03-29,Anuncio actualizado el 11 de julio
1000,1.0,3.0,15,1811730,90,80.0,Vitoria-Gasteiz,Álava,1993.0,0,0,0,0,0,1,1.0,0,0,0,1,no indicado,planta 3ª interior,Distrito Lovaina - Aranzabal,"Calle Ramiro de Maeztu, 5",2019-03-29,Anuncio actualizado el 24 de febrero
5000,38.0,35.0,23,29523967,1900,2000.0,Oión,"Laguardia-Rioja Alavesa, Álava",1993.0,1,0,1,0,1,1,1.0,0,1,1,1,no indicado,2 plantas,"Avenida de Navarra, 28",,2019-03-29,Anuncio actualizado el 17 de marzo
980,2.0,4.0,18,83855993,280,150.0,Zuya,Álava,1993.0,0,0,1,0,1,0,1.0,0,0,0,0,en trámite,1 planta,"Sarria Errepidea, 9",,2019-03-29,Anuncio actualizado el 4 de marzo
900,1.0,2.0,15,84174878,88,80.0,Vitoria-Gasteiz,Álava,1993.0,0,0,1,0,0,0,1.0,0,0,0,0,no indicado,planta 4ª exterior,Distrito Centro,"Calle San Antonio, 2",2019-03-29,Anuncio actualizado el 27 de marzo
650,2.0,2.0,17,26554757,97,83.0,Alegria-Dulantzi,"Salvatierra, Álava",1993.0,0,0,0,0,1,1,1.0,0,1,0,1,,bajo exterior,"Atxako, 1",,2019-03-29,Anuncio actualizado el 27 de marzo
3000,4.0,4.0,24,83961430,1500,350.0,Vitoria-Gasteiz,Álava,1993.0,0,0,1,0,1,1,1.0,0,1,0,1,no indicado,4 plantas,Distrito Armentia - Ciudad Jardín,"Cervantes Ibilbidea, 1",2019-03-29,Anuncio actualizado el 26 de enero
400,1.0,0.0,19,84786114,42,87.0,Iruña de Oca,"Añana, Álava",2007.0,0,0,0,0,0,0,0.0,0,0,0,0,no indicado,bajo exterior,,,2019-03-29,Anuncio actualizado el 25 de marzo
750,1.0,2.0,15,84818546,75,70.0,Vitoria-Gasteiz,Álava,1993.0,0,0,1,0,0,0,1.0,0,0,0,0,en trámite,,Distrito Santiago - El Anglo,,2019-03-29,Anuncio actualizado el 27 de marzo
710,1.0,3.0,15,84823984,75,70.0,Vitoria-Gasteiz,Álava,1977.0,0,0,0,0,0,0,1.0,0,0,0,1,no indicado,planta 4ª,Distrito Aranzabela - Aranbizkarra,,2019-03-29,Anuncio actualizado el 27 de marzo
850,1.0,3.0,15,84148195,90,87.0,Vitoria-Gasteiz,Álava,1976.0,0,0,0,0,0,0,1.0,0,0,0,1,en trámite,planta 3ª,Distrito Aranzabela - Aranbizkarra,Calle Palencia,2019-03-29,Anuncio actualizado el 22 de febrero
790,1.0,3.0,15,84451689,70,87.0,Vitoria-Gasteiz,Álava,1993.0,0,0,0,0,0,0,1.0,0,0,0,0,en trámite,planta 2ª,Distrito Coronación,Calle Badaia,2019-03-29,Anuncio actualizado el 23 de marzo
750,1.0,2.0,16,81340008,500,87.0,Vitoria-Gasteiz,Álava,1993.0,0,0,0,0,0,0,1.0,0,0,0,0,en trámite,,Distrito Zona rural noroeste,,2019-03-29,Anuncio actualizado el 20 de marzo
990,1.0,1.0,15,84754991,85,80.0,Vitoria-Gasteiz,Álava,1993.0,0,0,1,0,0,0,1.0,0,0,0,0,en trámite,,Distrito Salburua,,2019-03-29,Anuncio actualizado el 27 de marzo
600,1.0,1.0,22,82427003,35,87.0,Vitoria-Gasteiz,Álava,1993.0,1,0,1,0,0,0,0.0,0,0,0,0,,planta 4ª exterior,Distrito Casco Viejo,"Calle Errementari, 56",2019-03-29,Anuncio actualizado el 27 de marzo
600,1.0,1.0,22,84816227,50,87.0,Vitoria-Gasteiz,Álava,1993.0,0,0,0,0,0,0,0.0,0,0,0,0,no indicado,planta 4ª exterior,Distrito Casco Viejo,"Calle Barrenkale, 15",2019-03-29,Anuncio actualizado el 28 de marzo
975,2.0,3.0,15,84580383,130,101.0,Vitoria-Gasteiz,Álava,1993.0,0,0,0,0,0,0,1.0,0,0,0,0,,planta 5ª exterior,Distrito Centro,"Calle Olagibel, 6",2019-03-29,Anuncio actualizado el 28 de marzo
770,2.0,2.0,15,84653599,79,72.0,Vitoria-Gasteiz,Álava,1993.0,0,1,0,0,0,0,1.0,0,0,0,0,,planta 3ª exterior,Distrito Centro,"Calle Rioja, 21",2019-03-29,Anuncio actualizado el 25 de marzo
750,2.0,3.0,15,32967891,90,87.0,Vitoria-Gasteiz,Álava,1993.0,0,0,1,0,1,0,1.0,1,1,0,0,no indicado,planta 4ª exterior,Distrito Zabalgana - Ariznabarra,"gaztelako atea, 60",2019-03-29,Anuncio actualizado el 24 de marzo
990,1.0,3.0,15,84452688,85,72.0,Vitoria-Gasteiz,Álava,1993.0,0,0,0,0,0,1,1.0,0,0,0,1,en trámite,planta 5ª exterior,Distrito San Cristóbal,"Calle Domingo Martinez de Aragon, 9",2019-03-29,Anuncio actualizado el 18 de marzo
1300,2.0,2.0,15,84075067,85,87.0,Vitoria-Gasteiz,Álava,1993.0,0,0,0,0,1,0,1.0,0,0,0,0,no indicado,planta 4ª,Distrito Lovaina - Aranzabal,Paseo la Musica,2019-03-29,Anuncio actualizado el 12 de marzo
1150,2.0,2.0,15,84075101,85,87.0,Vitoria-Gasteiz,Álava,1993.0,0,0,0,0,1,0,1.0,0,0,0,0,no indicado,planta 2ª,Distrito Lovaina - Aranzabal,Paseo la Musica,2019-03-29,Anuncio actualizado el 29 de enero
790,1.0,3.0,15,84682840,85,87.0,Vitoria-Gasteiz,Álava,1993.0,0,1,0,0,0,0,1.0,0,0,0,0,,planta 2ª,Distrito Coronación,Plaza Zaldiaran,2019-03-29,Anuncio actualizado el 26 de marzo
1060,2.0,2.0,15,34092395,75,70.0,Vitoria-Gasteiz,Álava,1993.0,0,0,1,0,1,0,1.0,0,1,0,1,,planta 3ª exterior,Distrito Lovaina - Aranzabal,Paseo de la musica,2019-03-29,Anuncio actualizado el 25 de marzo
1600,2.0,3.0,15,82142534,120,105.0,Vitoria-Gasteiz,Álava,1993.0,0,0,0,0,1,0,1.0,1,0,0,0,en trámite,planta 3ª exterior,Distrito Lovaina - Aranzabal,Paseo de la musica,2019-03-29,Anuncio actualizado el 23 de noviembre
1300,2.0,3.0,15,84684869,117,104.0,Vitoria-Gasteiz,Álava,1993.0,0,0,1,0,1,0,1.0,0,1,0,1,en trámite,,Distrito Armentia - Ciudad Jardín,Gaztelako Atea,2019-03-29,Anuncio actualizado el 20 de marzo
2400,4.0,5.0,24,81564437,200,87.0,Vitoria-Gasteiz,Álava,1993.0,0,0,1,0,1,1,1.0,0,1,0,0,en trámite,3 plantas,Distrito Armentia - Ciudad Jardín,Calle Salbaterrabide,2019-03-29,Anuncio actualizado el 26 de junio
890,2.0,3.0,15,84364765,81,73.0,Vitoria-Gasteiz,Álava,1993.0,0,0,1,0,0,0,1.0,0,1,0,0,en trámite,planta 5ª exterior,Distrito Casco Viejo,,2019-03-29,Anuncio actualizado el 3 de marzo
650,2.0,3.0,17,84574224,100,90.0,Alegria-Dulantzi,"Salvatierra, Álava",2000.0,0,1,0,0,0,0,1.0,0,1,0,0,en trámite,planta 2ª exterior,Herrador,,2019-03-29,Anuncio actualizado el 27 de marzo
820,2.0,3.0,15,84635135,85,80.0,Vitoria-Gasteiz,Álava,1976.0,0,1,1,0,0,0,1.0,0,0,0,0,,planta 5ª exterior,Distrito Aranzabela - Aranbizkarra,Jose Pablo Ullibarri,2019-03-29,Anuncio actualizado el 13 de marzo
820,1.0,3.0,15,84757544,95,87.0,Vitoria-Gasteiz,Álava,1970.0,0,0,0,0,0,0,1.0,0,1,0,0,,planta 2ª exterior,Distrito Zaramaga,portal de legutiano,2019-03-29,Anuncio actualizado el 21 de marzo
595,1.0,1.0,15,84760198,68,60.0,Alegria-Dulantzi,"Salvatierra, Álava",2002.0,0,0,0,0,0,0,1.0,0,1,0,1,,planta 1ª exterior,Dulantzi,,2019-03-29,Anuncio actualizado el 21 de marzo
1100,2.0,3.0,15,84147742,120,110.0,Vitoria-Gasteiz,Álava,1995.0,0,0,0,0,1,0,1.0,0,1,0,0,en trámite,planta 5ª exterior,Distrito Centro,FLORIDA,2019-03-29,Anuncio actualizado el 5 de febrero
750,1.0,1.0,15,39595867,60,58.0,Vitoria-Gasteiz,Álava,1993.0,0,1,1,0,0,0,1.0,0,0,0,0,,planta 3ª exterior,Distrito Lovaina - Aranzabal,PRADO,2019-03-29,Anuncio actualizado el 26 de febrero
725,1.0,1.0,22,84819370,70,60.0,Vitoria-Gasteiz,Álava,2010.0,0,0,1,0,0,0,1.0,1,1,0,0,en trámite,planta 4ª exterior,Distrito Casco Viejo,"Calle Pintorería, Vitoria-Gasteiz",2019-03-29,Anuncio actualizado el 26 de marzo
