price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,air_conditioner,balcony,built_in_wardrobe,chimney,garage,garden,lift,reduced_mobility,storage_room,swimming_pool,terrace,energetic_certif,floor,loc_district,loc_neigh,obtention_date,ad_last_update
185000,1.0,3.0,3,39496135,85,70.0,Llodio,"Ayala, Álava",1993.0,0,1,0,0,0,0,1.0,0,1,0,1,no indicado,planta 1ª exterior,"Calle Ruperto Urquijo, 18",,2019-03-29,Anuncio actualizado el 11 de marzo
285000,3.0,3.0,5,36354619,210,87.0,Ayala,Álava,1993.0,0,0,0,0,1,1,1.0,0,0,0,1,,3 plantas,"Zubito Auzoa, 31",,2019-03-29,Anuncio actualizado el 9 de noviembre
115000,1.0,2.0,3,40061262,75,68.0,Llodio,"Ayala, Álava",1993.0,0,1,0,0,0,0,1.0,0,0,0,0,,planta 1ª exterior,"Vitoria, 10",,2019-03-29,Anuncio actualizado el 24 de marzo
255000,3.0,3.0,1,40146913,160,140.0,Ayala,Álava,1993.0,0,0,0,0,1,0,1.0,1,1,0,1,,planta 3ª exterior,"Calle Padura, 15 Nd",,2019-03-29,Anuncio actualizado el 24 de marzo
200000,2.0,3.0,3,40205695,100,89.0,Ayala,Álava,1993.0,0,0,0,0,1,1,1.0,0,1,0,1,en trámite,bajo exterior,"Calle Padura, 1",,2019-03-29,Anuncio actualizado el 11 de marzo
169000,1.0,3.0,3,40384237,85,70.0,Ayala,Álava,1993.0,0,1,0,0,1,0,0.0,0,1,0,0,,planta 2ª exterior,"Calle La Torre, 19",,2019-03-29,Anuncio actualizado el 4 de marzo
50000,1.0,2.0,3,40469523,65,87.0,Llodio,"Ayala, Álava",1993.0,0,0,0,0,0,0,0.0,0,0,0,0,,planta 2ª exterior,"Paso a nivel, 2",,2019-03-29,Anuncio actualizado el 8 de mayo
198000,2.0,3.0,3,40533344,90,80.0,Llodio,"Ayala, Álava",1993.0,0,1,1,0,0,0,1.0,0,0,0,0,en trámite,planta 5ª exterior,"Calle Untzueta, 7",,2019-03-29,Anuncio actualizado el 25 de marzo
139900,1.0,3.0,3,81879086,73,68.0,Llodio,"Ayala, Álava",1964.0,0,1,0,0,0,1,0.0,0,0,0,0,,planta 1ª exterior,"Calle Iturriaga, 10",,2019-03-29,Anuncio actualizado el 11 de marzo
120000,1.0,2.0,3,82103174,75,87.0,Okondo,"Ayala, Álava",1993.0,0,1,0,0,0,0,0.0,0,1,0,0,no indicado,planta 5ª exterior,"Calle Irabien, 13",,2019-03-29,Anuncio actualizado el 17 de febrero
190000,1.0,3.0,3,82654045,87,70.0,Amurrio,"Ayala, Álava",1993.0,0,1,0,0,1,0,1.0,0,0,0,1,no indicado,planta 4ª exterior,Urb. Edificio de los Eguia,"Calle Jose Madinabeitia, 7",2019-03-29,Anuncio actualizado el 24 de marzo
160000,2.0,3.0,3,83831062,90,87.0,Artziniega,"Ayala, Álava",1993.0,0,1,1,0,0,1,1.0,0,1,1,1,en trámite,planta 4ª exterior,Urb. Eguzkimendi Urbanizazioa / Urbanización,"Eguzkimendi Urbanizazioa, 2",2019-03-29,Anuncio actualizado el 14 de enero
268000,2.0,4.0,9,39170218,130,87.0,Artziniega,"Ayala, Álava",1993.0,0,0,0,0,1,0,0.0,0,1,0,1,en trámite,planta 1ª exterior,"Jauregia Urbanizazioa, 12",,2019-03-29,Anuncio actualizado el 19 de febrero
145000,1.0,3.0,3,29647879,72,63.0,Llodio,"Ayala, Álava",1993.0,0,0,0,0,0,0,1.0,0,0,0,0,en trámite,planta 3ª exterior,Calle Zubiko Kurajo,,2019-03-29,Anuncio actualizado el 28 de septiembre
139000,1.0,3.0,3,84465519,74,87.0,Llodio,"Ayala, Álava",1993.0,0,1,0,0,0,0,1.0,0,0,0,0,,planta 2ª exterior,,,2019-03-29,Anuncio actualizado el 18 de marzo
110000,1.0,3.0,3,81339893,78,66.0,Llodio,"Ayala, Álava",1993.0,0,0,0,0,0,0,0.0,0,0,0,0,,bajo exterior,,,2019-03-29,Anuncio actualizado el 5 de marzo
135000,1.0,3.0,3,84653857,77,87.0,Amurrio,"Ayala, Álava",1993.0,0,0,0,0,0,0,1.0,0,0,0,0,no indicado,planta 6ª,,,2019-03-29,Anuncio actualizado el 28 de marzo
165000,1.0,3.0,3,84653870,73,87.0,Amurrio,"Ayala, Álava",1993.0,0,0,0,0,0,0,1.0,0,0,0,0,no indicado,planta 3ª,,,2019-03-29,Anuncio actualizado el 28 de marzo
210000,2.0,3.0,3,40166157,86,87.0,Llodio,"Ayala, Álava",1993.0,0,1,0,0,1,0,1.0,1,0,0,0,,planta 4ª exterior,"Calle Kamaraka, 8",,2019-03-29,Anuncio actualizado el 11 de abril
255000,3.0,4.0,3,40399342,140,134.0,Ayala,Álava,1993.0,0,0,1,0,1,1,0.0,0,1,0,1,,planta 1ª exterior,"La Iglesia Auzoa, 1",,2019-03-29,Anuncio actualizado el 27 de enero
170000,2.0,3.0,3,813640,90,87.0,Ayala,Álava,1993.0,0,0,0,0,1,0,0.0,0,1,0,0,,planta 1ª exterior,Calle Latorre,,2019-03-29,Anuncio actualizado el 12 de febrero
206000,1.0,2.0,3,827364,70,87.0,Ayala,Álava,1993.0,0,0,0,0,1,1,1.0,0,0,0,0,,planta 2ª exterior,Calle Latorre,,2019-03-29,Anuncio actualizado el 12 de febrero
309000,2.0,3.0,9,941577,146,87.0,Llodio,"Ayala, Álava",1993.0,0,0,0,0,1,1,0.0,0,1,0,1,no indicado,planta 1ª exterior,Calle Ellakuri,,2019-03-29,Anuncio actualizado el 13 de mayo
173000,1.0,2.0,3,947398,55,87.0,Llodio,"Ayala, Álava",1993.0,0,0,0,0,0,0,0.0,0,0,0,1,no indicado,planta 4ª exterior,Calle Pintor Jose Arrue,,2019-03-29,Anuncio actualizado el 4 de junio
40000,1.0,0.0,10,29437736,41,39.0,Ayala,Álava,1993.0,0,0,0,0,0,0,0.0,0,0,0,0,en trámite,bajo exterior,Calle Barrena,,2019-03-29,Anuncio actualizado el 20 de enero
175000,2.0,2.0,9,32798896,95,80.0,Ayala,Álava,1993.0,0,0,0,0,1,1,1.0,0,1,0,0,en trámite,planta 2ª exterior,Calle otazu,,2019-03-29,Anuncio actualizado el 22 de julio
70000,1.0,2.0,3,34031515,60,58.0,Llodio,"Ayala, Álava",1965.0,0,0,0,0,0,0,0.0,0,1,0,0,en trámite,planta 5ª exterior,landeta,,2019-03-29,Anuncio actualizado el 26 de mayo
175000,1.0,3.0,3,35297414,90,87.0,Llodio,"Ayala, Álava",1981.0,0,0,0,0,0,0,1.0,0,0,0,1,en trámite,planta 4ª exterior,Calle Landaluze,,2019-03-29,Anuncio actualizado el 21 de diciembre
90125,1.0,2.0,3,82018302,60,87.0,Llodio,"Ayala, Álava",1993.0,0,0,0,0,0,0,1.0,0,0,0,0,en trámite,planta 1ª exterior,Vitoria,,2019-03-29,Anuncio actualizado el 9 de agosto
250000,2.0,4.0,3,39080378,140,87.0,Llodio,"Ayala, Álava",1993.0,0,0,0,0,0,0,1.0,0,1,0,0,,planta 2ª exterior,Baias,,2019-03-29,Anuncio actualizado el 4 de abril
58000,1.0,3.0,3,40128026,69,87.0,Ayala,Álava,1993.0,0,0,0,0,0,0,0.0,0,1,0,0,,planta 3ª exterior,BARRENA,,2019-03-29,Anuncio actualizado el 31 de enero
275000,1.0,3.0,2,84128658,200,190.0,Artziniega,"Ayala, Álava",1993.0,0,1,0,0,1,1,1.0,0,1,0,1,en trámite,3 plantas,Barrataguren,,2019-03-29,Anuncio actualizado el 2 de febrero
155000,1.0,3.0,3,84315744,77,65.0,Llodio,"Ayala, Álava",1993.0,0,1,0,0,0,0,1.0,0,1,0,0,no indicado,planta 4ª exterior,"Calle Ruperto Urquijo, 18",,2019-03-29,Anuncio actualizado el 10 de marzo
415000,3.0,4.0,5,84380985,168,87.0,Amurrio,"Ayala, Álava",2004.0,0,0,0,0,1,1,1.0,0,1,0,1,en trámite,2 plantas,"Calle Errotatxu, 9",,2019-03-29,Anuncio actualizado el 7 de marzo
170000,1.0,3.0,3,84430735,96,78.0,Llodio,"Ayala, Álava",1993.0,0,1,1,0,0,0,1.0,0,1,0,0,en trámite,planta 1ª exterior,"Calle Ruperto Urquijo, 13",,2019-03-29,Anuncio actualizado el 8 de marzo
60000,1.0,3.0,3,84544813,92,75.0,Llodio,"Ayala, Álava",1993.0,0,1,0,0,0,0,0.0,0,0,0,0,no indicado,planta 5ª exterior,"Calle Vitoria, 26",,2019-03-29,Anuncio actualizado el 26 de marzo
172000,2.0,3.0,3,84582751,90,87.0,Amurrio,"Ayala, Álava",1993.0,0,0,1,0,1,1,1.0,0,1,0,1,,planta 2ª exterior,"Calle Felix Murga, 11",,2019-03-29,Anuncio actualizado el 24 de marzo
170000,2.0,3.0,3,84606602,90,87.0,Llodio,"Ayala, Álava",1993.0,0,1,0,0,1,0,1.0,0,1,0,0,no indicado,planta 2ª exterior,"urbanizacion/apaloeta, 4",,2019-03-29,Anuncio actualizado el 25 de marzo
165000,1.0,2.0,3,34736217,80,87.0,Okondo,"Ayala, Álava",1993.0,0,0,0,0,0,0,0.0,0,1,0,0,en trámite,planta 5ª exterior,Calle Irabien,,2019-03-29,Anuncio actualizado el 1 de febrero
110000,1.0,3.0,3,39345595,88,79.0,Llodio,"Ayala, Álava",1960.0,1,0,0,0,0,0,1.0,0,0,0,0,no indicado,planta 3ª,Urb. null,"Calle Tres Cruces, 25",2019-03-29,Anuncio actualizado el 22 de marzo
380000,2.0,4.0,0,40453872,180,87.0,Okondo,"Ayala, Álava",1993.0,0,0,0,0,1,0,1.0,0,1,0,0,,,"Villachica Entitatea, 20",,2019-03-29,Anuncio actualizado el 8 de mayo
238000,3.0,4.0,9,82328949,200,167.0,Ayala,Álava,2003.0,0,0,0,0,1,0,1.0,0,1,0,0,en trámite,exterior,,,2019-03-29,Anuncio actualizado el 7 de enero
750000,4.0,5.0,0,82389830,2200,200.0,Okondo,"Ayala, Álava",1998.0,1,1,1,0,1,1,1.0,0,1,1,1,,1 planta,"San Roman, 2",,2019-03-29,Anuncio actualizado el 8 de enero
250000,2.0,3.0,3,40207471,108,87.0,Amurrio,"Ayala, Álava",2007.0,0,0,1,0,1,0,1.0,1,1,0,0,,planta 2ª exterior,,,2019-03-29,Anuncio actualizado el 24 de octubre
154000,1.0,3.0,3,39340525,96,82.0,Llodio,"Ayala, Álava",1964.0,0,1,0,0,1,0,1.0,0,1,0,0,en trámite,planta 1ª exterior,Zumalakarregi s/n,,2019-03-29,Anuncio actualizado el 17 de julio
139900,1.0,3.0,3,81902194,78,87.0,Llodio,"Ayala, Álava",1959.0,0,0,0,0,0,0,0.0,0,1,0,0,,planta 1ª exterior,,,2019-03-29,Anuncio actualizado el 22 de febrero
149500,2.0,2.0,3,83171945,84,87.0,Llodio,"Ayala, Álava",1963.0,0,1,0,0,0,0,0.0,0,1,0,0,en trámite,planta 3ª exterior,,,2019-03-29,Anuncio actualizado el 31 de enero
198000,2.0,3.0,3,84384590,90,80.0,Llodio,"Ayala, Álava",1978.0,0,1,0,0,0,0,1.0,1,0,0,0,en trámite,planta 5ª exterior,,,2019-03-29,Anuncio actualizado el 11 de marzo
