ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gas natural,heating_calefacción central: gas propano/butano,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_calefacción individual: gasoil,heating_no dispone de calefacción,heating_no dispone de calefacción: gas propano/butano,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 4 de febrero,0,0,1.0,0,0,1976.0,en trámite,2 plantas,0,0,33338734,6,1.0,Carranza,"lanzas agudas auzoa, 5"," lanzas agudas auzoa, 5 , Carranza , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",200,85.0,2019-03-29,60000,0,5.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 8 de marzo,0,0,1.0,1,0,1976.0,en trámite,planta 3ª exterior,0,0,35917819,2,0.0,Güeñes,," , Güeñes , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",65,58.0,2019-03-29,85000,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 14 de marzo,0,0,1.0,0,0,1976.0,en trámite,planta 1ª exterior,0,0,35920172,2,0.0,Güeñes,," , Güeñes , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",60,55.0,2019-03-29,68000,0,2.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 11 de marzo,0,0,1.0,0,0,1976.0,no indicado,planta 1ª exterior,0,0,31127145,2,0.0,Balmaseda,"Calle martin mendia, 23"," Calle martin mendia, 23 , Balmaseda , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",90,80.0,2019-03-29,150000,0,3.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 18 de febrero,0,0,1.0,0,0,1976.0,no indicado,planta 1ª exterior,0,0,27681234,2,0.0,Balmaseda,"Calle Martin Mendia Kalea, 13"," Calle Martin Mendia Kalea, 13 , Balmaseda , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",100,85.0,2019-03-29,155000,0,3.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 18 de diciembre,0,0,1.0,0,0,1976.0,no indicado,planta 1ª exterior,0,0,35406322,2,1.0,Balmaseda,"Plaza San Severino, 5"," Plaza San Severino, 5 , Balmaseda , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",114,85.0,2019-03-29,200000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 29 de octubre,0,0,1.0,0,0,1976.0,no indicado,3 plantas,0,0,36202923,3,1.0,Carranza,Calle Barrio bernales s/n," Calle Barrio bernales s/n , Carranza , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",400,85.0,2019-03-29,60000,0,5.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 15 de febrero,0,0,1.0,0,0,1976.0,no indicado,bajo exterior,0,0,84301068,2,0.0,Balmaseda,"Calle Tenerias, 10"," Calle Tenerias, 10 , Balmaseda , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",70,85.0,2019-03-29,75000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 22 de febrero,0,0,1.0,0,0,1976.0,no indicado,planta 3ª exterior,1,0,25575129,2,0.0,Sopuerta,"Calle Lehendakari Agirre, 4"," Calle Lehendakari Agirre, 4 , Sopuerta , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",75,85.0,2019-03-29,122000,0,3.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Anuncio actualizado el 27 de noviembre,0,0,1.0,0,0,1976.0,en trámite,planta 1ª exterior,0,0,83310183,2,0.0,Zalla,"Mimetiz, 100"," Mimetiz, 100 , Zalla , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",80,75.0,2019-03-29,115000,0,3.0,1,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 5 de junio,0,0,1.0,0,0,1976.0,en trámite,1 planta,0,1,26580432,0,1.0,Carranza,," , Carranza , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",350,85.0,2019-03-29,125000,0,4.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 5 de junio,0,0,1.0,0,0,1976.0,en trámite,1 planta,0,0,838211,0,1.0,Carranza,," , Carranza , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",200,85.0,2019-03-29,66111,0,1.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 18 de diciembre,0,0,2.0,0,0,1976.0,,planta 3ª exterior,1,1,27330471,2,0.0,Sopuerta,"Calle la Baluga Auzoa, 29"," Calle la Baluga Auzoa, 29 , Sopuerta , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",95,90.0,2019-03-29,150000,0,3.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 5 de junio,0,0,2.0,0,0,1976.0,en trámite,planta 2ª exterior,0,0,498588,2,0.0,Carranza,," , Carranza , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",60,85.0,2019-03-29,162500,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 5 de junio,0,0,1.0,0,0,1976.0,en trámite,planta 1ª,0,0,498748,2,0.0,Balmaseda,," , Balmaseda , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",33,85.0,2019-03-29,165000,0,1.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 5 de junio,0,0,1.0,0,0,1976.0,en trámite,1 planta,0,1,838373,7,1.0,Carranza,," , Carranza , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",441,85.0,2019-03-29,250000,0,5.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 5 de junio,0,0,2.0,0,0,1976.0,en trámite,planta 2ª exterior,0,0,498915,2,1.0,Carranza,," , Carranza , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",98,85.0,2019-03-29,192500,0,3.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 5 de junio,0,0,2.0,0,0,1976.0,en trámite,planta 1ª exterior,0,0,672378,2,0.0,Güeñes,," , Güeñes , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",100,85.0,2019-03-29,216000,0,4.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 5 de junio,0,0,1.0,0,0,1976.0,en trámite,planta 4ª exterior,0,0,32547100,2,0.0,Carranza,," , Carranza , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",80,85.0,2019-03-29,159268,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 5 de junio,0,0,2.0,0,0,1976.0,en trámite,planta 2ª,0,0,33276162,2,0.0,Carranza,," , Carranza , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",90,85.0,2019-03-29,153000,0,3.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 20 de marzo,0,0,1.0,0,0,1976.0,no indicado,1 planta,0,0,84744520,3,1.0,Carranza,"Calle Arabuste Sangrices, 37"," Calle Arabuste Sangrices, 37 , Carranza , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",700,85.0,2019-03-29,180000,0,2.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 12 de febrero,0,0,1.0,1,0,1976.0,no indicado,planta 5ª exterior,0,0,1902959,5,0.0,Balmaseda,," , Balmaseda , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",56,45.0,2019-03-29,85500,0,1.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 25 de enero,0,1,1.0,0,0,1976.0,en trámite,planta 1ª exterior,0,0,84030267,2,0.0,Sopuerta,," , Sopuerta , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",75,70.0,2019-03-29,53000,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 14 de febrero,0,0,1.0,0,0,1976.0,inmueble exento,2 plantas,1,0,40336488,0,1.0,Sopuerta,"El Castaño Auzoa, 22"," El Castaño Auzoa, 22 , Sopuerta , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",140,85.0,2019-03-29,180000,0,6.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 20 de febrero,0,0,2.0,0,0,1976.0,no indicado,planta 1ª exterior,1,0,28353205,2,1.0,Sopuerta,," , Sopuerta , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",90,85.0,2019-03-29,160000,0,3.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 27 de abril,0,0,2.0,0,0,1995.0,en trámite,planta 1ª exterior,1,0,36387976,2,1.0,Güeñes,," , Güeñes , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",83,85.0,2019-03-29,238000,0,3.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 14 de marzo,0,0,2.0,0,0,1976.0,en trámite,,0,0,36861922,0,1.0,Zalla,," , Zalla , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",1367,167.0,2019-03-29,480000,0,4.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 8 de febrero,0,0,2.0,0,0,1976.0,en trámite,,0,0,39043286,7,1.0,Gordexola,," , Gordexola , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",300,250.0,2019-03-29,160000,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 5 de abril,0,1,2.0,0,0,1976.0,en trámite,,1,1,40021477,0,1.0,Güeñes,," , Güeñes , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",1300,120.0,2019-03-29,495000,0,3.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 24 de marzo,0,0,1.0,0,0,1976.0,no indicado,planta 3ª exterior,0,0,34494619,2,0.0,Zalla,"Calle maestra consuelo robredo, 6"," Calle maestra consuelo robredo, 6 , Zalla , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",75,85.0,2019-03-29,120000,0,3.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 24 de marzo,0,0,5.0,0,0,1976.0,no indicado,3 plantas,0,0,35771906,6,1.0,Lanestosa,"Calle Manuela Sainz de Rozas, 2"," Calle Manuela Sainz de Rozas, 2 , Lanestosa , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",2697,85.0,2019-03-29,225000,0,20.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 26 de marzo,0,0,2.0,0,0,1976.0,en trámite,planta 3ª exterior,0,0,36699401,4,1.0,Balmaseda,"Calle Pio Bermejillo, 15"," Calle Pio Bermejillo, 15 , Balmaseda , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",90,85.0,2019-03-29,241000,0,3.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 5 de febrero,0,0,1.0,1,0,1976.0,en trámite,planta 3ª exterior,0,0,30844735,2,0.0,Zalla,," , Zalla , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",80,70.0,2019-03-29,124000,0,3.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 24 de marzo,0,0,1.0,1,0,1976.0,en trámite,planta 2ª exterior,0,0,40050785,2,0.0,Zalla,"Barrio la Inmaculada, 12"," Barrio la Inmaculada, 12 , Zalla , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",65,85.0,2019-03-29,90000,0,2.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 9 de enero,0,0,2.0,0,0,1976.0,en trámite,bajo exterior,1,0,83780280,2,1.0,Balmaseda,," , Balmaseda , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",85,85.0,2019-03-29,149000,0,2.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 20 de febrero,0,0,1.0,0,0,1976.0,en trámite,planta 3ª exterior,0,0,83780459,2,0.0,Zalla,," , Zalla , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",75,85.0,2019-03-29,148900,0,3.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
