ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_calefacción individual: gasoil,heating_heating,heating_no dispone de calefacción,heating_no dispone de calefacción: gas natural,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 15 de febrero,0,0,1.0,0,0,,en trámite,planta 1ª exterior,0,0,38265845,1,1,Santa Comba,"Calle de Curros Enríquez, 15"," Calle de Curros Enríquez, 15 , Santa Comba , Xallas, A Coruña ",,"Xallas, A Coruña",70,65,2019-04-13,50000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 26 de marzo,0,0,1.0,0,0,,inmueble exento,1 planta,0,0,29651097,3,,Santa Comba,Urb. A 9 km de Pontevedra e a 5 km de Ponte Bora," a Xesteira, 1 , Urb. A 9 km de Pontevedra e a 5 km de Ponte Bora , Santa Comba , Xallas, A Coruña ","a Xesteira, 1","Xallas, A Coruña",1871,1,2019-04-13,12500,0,1.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 31 de enero,0,0,1.0,0,1,,inmueble exento,2 plantas,0,1,35571849,2,,Mazaricos,Corveira s/n," Corveira s/n , Mazaricos , Xallas, A Coruña ",,"Xallas, A Coruña",900,,2019-04-13,25000,0,4.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 2 de diciembre,0,0,3.0,0,0,,no indicado,3 plantas,1,1,2063146,0,,Mazaricos,"Carretera de Muros, 46"," Carretera de Muros, 46 , Mazaricos , Xallas, A Coruña ",,"Xallas, A Coruña",800,,2019-04-13,129000,0,7.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 10 de abril,0,0,1.0,0,0,1979,en trámite,1 planta,0,1,84500217,2,,Santa Comba,Aldea Freixeiro Parroquia Amenzones," Aldea Freixeiro Parroquia Amenzones , Santa Comba , Xallas, A Coruña ",,"Xallas, A Coruña",1604,,2019-04-13,90000,0,4.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 10 de abril,0,0,2.0,1,0,,,planta 3ª,0,0,32534861,1,,Santa Comba,Calle galicia," Calle galicia , Santa Comba , Xallas, A Coruña ",,"Xallas, A Coruña",130,,2019-04-13,37440,0,3.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 12 de abril,0,0,1.0,0,0,,,planta 3ª,0,0,39888648,1,0,Santa Comba,Calle galicia," Calle galicia , Santa Comba , Xallas, A Coruña ",,"Xallas, A Coruña",130,,2019-04-13,37440,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 3 de abril,0,0,1.0,0,0,,en trámite,,0,0,84931271,7,,Mazaricos,"A Curra, Arcos"," A Curra, Arcos , Mazaricos , Xallas, A Coruña ",,"Xallas, A Coruña",224,,2019-04-13,95000,0,4.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 31 de marzo,0,0,2.0,1,0,,en trámite,3 plantas,1,1,37655166,0,,Santa Comba,"Busto, 11"," Busto, 11 , Santa Comba , Xallas, A Coruña ",,"Xallas, A Coruña",5500,,2019-04-13,210000,0,4.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 17 de marzo,0,0,3.0,1,0,,en trámite,3 plantas,1,0,38168830,4,,Santa Comba,Urb. AS CERDEIRAS," Santa Comba, 20 , Urb. AS CERDEIRAS , Santa Comba , Xallas, A Coruña ","Santa Comba, 20","Xallas, A Coruña",180,,2019-04-13,120000,0,5.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
