ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
más de 5 meses sin actualizar,1,0,1.0,0,0,,no indicado,2 plantas,0,1,32912488,3,,Sanlúcar la Mayor,Urb. los encinares de sanlucar," Calle sauce, 5 , Urb. los encinares de sanlucar , Sanlúcar la Mayor , Aljarafe, Sevilla ","Calle sauce, 5","Aljarafe, Sevilla",2812,,2019-04-13,185000,0,2.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,3.0,1,0,,,3 plantas,0,0,37432137,0,,Olivares,"Calle Santa Rita, 8"," Calle Santa Rita, 8 , Olivares , Aljarafe, Sevilla ",,"Aljarafe, Sevilla",90,,2019-04-13,185000,0,4.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,3.0,1,0,,,3 plantas,0,0,37495534,0,,Olivares,"Calle santa rita, 8"," Calle santa rita, 8 , Olivares , Aljarafe, Sevilla ",,"Aljarafe, Sevilla",85,140,2019-04-13,185000,0,4.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,1,0,,,3 plantas,0,0,36673130,4,,Sanlúcar la Mayor,"Plaza del Descubrimiento, 4"," Plaza del Descubrimiento, 4 , Sanlúcar la Mayor , Aljarafe, Sevilla ",,"Aljarafe, Sevilla",150,,2019-04-13,150000,0,3.0,1,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
más de 5 meses sin actualizar,1,0,1.0,0,0,,no indicado,planta 1ª exterior,0,0,1995691,1,0,Olivares,"Avenida Conde Duque, 56"," Avenida Conde Duque, 56 , Olivares , Aljarafe, Sevilla ",,"Aljarafe, Sevilla",80,76,2019-04-13,65800,0,3.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
más de 5 meses sin actualizar,1,0,3.0,1,0,,no indicado,2 plantas,1,0,448453,2,,Sanlúcar la Mayor,"Calle Picador Jose Morales Chocolate, 17"," Calle Picador Jose Morales Chocolate, 17 , Sanlúcar la Mayor , Aljarafe, Sevilla ",,"Aljarafe, Sevilla",190,,2019-04-13,160000,0,4.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 1 de abril,0,0,2.0,0,0,,no indicado,,0,0,83807058,2,,Sanlúcar la Mayor,," , Sanlúcar la Mayor , Aljarafe, Sevilla ",,"Aljarafe, Sevilla",80,64,2019-04-13,98500,0,3.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 20 de febrero,0,0,1.0,0,0,1975,no indicado,2 plantas,0,0,39140462,7,,Albaida del Aljarafe,"Calle Colón, 22"," Calle Colón, 22 , Albaida del Aljarafe , Aljarafe, Sevilla ",,"Aljarafe, Sevilla",350,140,2019-04-13,75000,0,4.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 27 de noviembre,0,0,1.0,0,0,,no indicado,planta 1ª exterior,0,0,39129148,1,0,Olivares,"Plaza los Tambores, 7"," Plaza los Tambores, 7 , Olivares , Aljarafe, Sevilla ",,"Aljarafe, Sevilla",120,,2019-04-13,110000,0,1.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 18 de febrero,0,0,2.0,0,0,,no indicado,,1,0,82869134,4,,Sanlúcar la Mayor,"Calle huelva, 222"," Calle huelva, 222 , Sanlúcar la Mayor , Aljarafe, Sevilla ",,"Aljarafe, Sevilla",240,,2019-04-13,130000,0,4.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 22 de enero,0,0,1.0,0,0,,no indicado,,0,1,83937161,4,,Sanlúcar la Mayor,Urb. encinares," Calle Cigueña, 19 , Urb. encinares , Sanlúcar la Mayor , Aljarafe, Sevilla ","Calle Cigueña, 19","Aljarafe, Sevilla",2618,,2019-04-13,170000,0,3.0,0,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 26 de febrero,1,0,2.0,1,0,,no indicado,,1,1,84416863,4,,Olivares,SE-512 s/n," SE-512 s/n , Olivares , Aljarafe, Sevilla ",,"Aljarafe, Sevilla",7000,,2019-04-13,231000,0,5.0,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 28 de febrero,0,0,1.0,0,0,,en trámite,,0,0,84476976,7,,Sanlúcar la Mayor,Urb. ranchos de guadiamar.," Calle Los Alcornocales, 133 , Urb. ranchos de guadiamar. , Sanlúcar la Mayor , Aljarafe, Sevilla ","Calle Los Alcornocales, 133","Aljarafe, Sevilla",2500,,2019-04-13,75000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 1 de marzo,1,0,1.0,0,0,,,planta 2ª exterior,0,0,38619620,1,0,Sanlúcar la Mayor,"Calle Cristóbal Colón, 37"," Calle Cristóbal Colón, 37 , Sanlúcar la Mayor , Aljarafe, Sevilla ",,"Aljarafe, Sevilla",60,59,2019-04-13,45000,0,3.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 9 de abril,0,0,2.0,1,0,,,planta 2ª interior,0,0,83521620,1,1,Sanlúcar la Mayor,"Calle Real, 5"," Calle Real, 5 , Sanlúcar la Mayor , Aljarafe, Sevilla ",,"Aljarafe, Sevilla",100,,2019-04-13,95000,1,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 25 de febrero,0,0,3.0,1,0,,,2 plantas,1,1,84414954,2,,Sanlúcar la Mayor,Urb. Camino real," Calle Benacazón, 20 , Urb. Camino real , Sanlúcar la Mayor , Aljarafe, Sevilla ","Calle Benacazón, 20","Aljarafe, Sevilla",270,143,2019-04-13,220000,0,4.0,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 6 de abril,0,0,2.0,0,0,,,,0,0,83222801,0,,Sanlúcar la Mayor,Calle Juan Carlos I," Calle Juan Carlos I , Sanlúcar la Mayor , Aljarafe, Sevilla ",,"Aljarafe, Sevilla",80,64,2019-04-13,98500,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 14 de marzo,0,0,2.0,0,0,,no indicado,,0,0,84662285,9,,Sanlúcar la Mayor,Urbanizacio Los Ranchos de Guadimar s/n," Urbanizacio Los Ranchos de Guadimar s/n , Sanlúcar la Mayor , Aljarafe, Sevilla ",,"Aljarafe, Sevilla",2500,,2019-04-13,50000,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 31 de marzo,0,0,2.0,1,0,,no indicado,planta 2ª interior,0,0,84817986,10,0,Sanlúcar la Mayor,"Calle Salesianas, 4"," Calle Salesianas, 4 , Sanlúcar la Mayor , Aljarafe, Sevilla ",,"Aljarafe, Sevilla",97,,2019-04-13,115000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 13 de febrero,0,0,1.0,0,0,,,bajo,0,0,35645931,1,0,Sanlúcar la Mayor,Calle josé luis escolar," Calle josé luis escolar , Sanlúcar la Mayor , Aljarafe, Sevilla ",,"Aljarafe, Sevilla",103,,2019-04-13,65500,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 13 de febrero,0,0,1.0,0,0,,,,0,0,83934302,4,,Olivares,Calle Genaro Díaz," Calle Genaro Díaz , Olivares , Aljarafe, Sevilla ",,"Aljarafe, Sevilla",107,,2019-04-13,70200,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 16 de marzo,0,0,2.0,0,0,,,planta 9ª,0,0,84152213,1,1,Olivares,Calle las Pajas," Calle las Pajas , Olivares , Aljarafe, Sevilla ",,"Aljarafe, Sevilla",94,,2019-04-13,103500,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 21 de marzo,0,0,2.0,0,0,,,planta 9ª,0,0,84107487,1,1,Olivares,"Calle las Pajas, 3"," Calle las Pajas, 3 , Olivares , Aljarafe, Sevilla ",,"Aljarafe, Sevilla",94,,2019-04-13,103500,0,2.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 16 de marzo,0,0,1.0,0,0,,,bajo,0,0,84127307,1,0,Olivares,Calle las Pajas," Calle las Pajas , Olivares , Aljarafe, Sevilla ",,"Aljarafe, Sevilla",91,,2019-04-13,116800,0,1.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 21 de marzo,0,0,2.0,0,0,,,bajo,0,0,33496461,1,,Olivares,"Calle las pajas, 3"," Calle las pajas, 3 , Olivares , Aljarafe, Sevilla ",,"Aljarafe, Sevilla",91,,2019-04-13,116800,0,3.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 4 de abril,0,0,2.0,0,0,,no indicado,2 plantas,1,0,84943493,0,,Olivares,"Calle Gades, 4"," Calle Gades, 4 , Olivares , Aljarafe, Sevilla ",,"Aljarafe, Sevilla",160,,2019-04-13,98000,0,3.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 22 de marzo,0,0,2.0,0,0,,,,0,0,83010282,0,,Sanlúcar la Mayor,," , Sanlúcar la Mayor , Aljarafe, Sevilla ",,"Aljarafe, Sevilla",90,81,2019-04-13,65160,0,3.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 9 de octubre,1,0,1.0,0,0,1990,no indicado,1 planta,0,1,82106475,4,,Sanlúcar la Mayor,," , Sanlúcar la Mayor , Aljarafe, Sevilla ",,"Aljarafe, Sevilla",2575,88,2019-04-13,105000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
