ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_calefacción individual: gasoil,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 7 de abril,0,0,2.0,1,0,,no indicado,2 plantas,1,1,1686872,5,,Ayllon,"Calle Maria de Garay, 27"," Calle Maria de Garay, 27 , Ayllon , Área de Riaza, Segovia ",,"Área de Riaza, Segovia",40,100,2019-04-13,165000,0,4.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 7 de abril,0,1,1.0,1,0,,no indicado,planta 2ª exterior,1,0,1808455,0,1,Riaza,"Calle Val Bajo, 5"," Calle Val Bajo, 5 , Riaza , Área de Riaza, Segovia ",,"Área de Riaza, Segovia",89,87,2019-04-13,140000,0,2.0,0,0,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 7 de abril,0,0,1.0,1,0,,no indicado,planta 3ª exterior,0,0,2089431,6,0,Riaza,"Calle las Damas, 40"," Calle las Damas, 40 , Riaza , Área de Riaza, Segovia ",,"Área de Riaza, Segovia",81,67,2019-04-13,95000,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 19 de febrero,0,0,1.0,0,0,,no indicado,3 plantas,0,0,34399835,1,,Ayllon,"Calle cantarranas, 1"," Calle cantarranas, 1 , Ayllon , Área de Riaza, Segovia ",,"Área de Riaza, Segovia",800,,2019-04-13,25000,0,4.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 25 de febrero,0,0,2.0,0,1,,no indicado,2 plantas,1,1,37359285,1,,Ayllon,"Calle Cercas, 5 y 7"," Calle Cercas, 5 y 7 , Ayllon , Área de Riaza, Segovia ",,"Área de Riaza, Segovia",500,,2019-04-13,99990,0,7.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Anuncio actualizado el 11 de marzo,0,0,1.0,0,0,,no indicado,2 plantas,0,0,37711649,1,,Cedillo de la Torre,"Calle Terrero, 2"," Calle Terrero, 2 , Cedillo de la Torre , Área de Riaza, Segovia ",,"Área de Riaza, Segovia",250,,2019-04-13,30000,0,5.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 24 de febrero,0,0,2.0,0,0,,no indicado,2 plantas,1,1,31470636,2,,Fresno de Cantespino,Urb. PRADO PINILLA," Camino del rosal, 201 , Urb. PRADO PINILLA , Fresno de Cantespino , Área de Riaza, Segovia ","Camino del rosal, 201","Área de Riaza, Segovia",2500,120,2019-04-13,159000,0,3.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 11 de febrero,0,1,1.0,0,0,,no indicado,2 plantas,1,0,40236623,1,,Moral de Hornuez,"Calle del Peñasco, 3"," Calle del Peñasco, 3 , Moral de Hornuez , Área de Riaza, Segovia ",,"Área de Riaza, Segovia",148,,2019-04-13,18000,0,5.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 6 de marzo,0,0,1.0,1,0,,en trámite,planta 2ª exterior,0,1,81353514,0,1,Riaza,"Calle Eugenio Hernanz Gómez, 9"," Calle Eugenio Hernanz Gómez, 9 , Riaza , Área de Riaza, Segovia ",,"Área de Riaza, Segovia",73,,2019-04-13,110000,1,2.0,0,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 31 de marzo,0,0,2.0,1,0,,no indicado,,0,0,423203,4,,Fresno de Cantespino,"Calle San Juan, 47"," Calle San Juan, 47 , Fresno de Cantespino , Área de Riaza, Segovia ",,"Área de Riaza, Segovia",145,,2019-04-13,100000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
