ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: bomba de frío/calor,heating_calefacción central: eléctrica,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
más de 5 meses sin actualizar,0,0,3.0,0,0,,no indicado,2 plantas,1,0,37545550,1,,El Castillo de las Guardas,"Calle castillo de almodovar, 2"," Calle castillo de almodovar, 2 , El Castillo de las Guardas , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",860,,2019-04-13,570000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,1 planta,0,0,35147486,6,,La Puebla de los Infantes,"Calle Hermanos Alvarez Quintero, 9"," Calle Hermanos Alvarez Quintero, 9 , La Puebla de los Infantes , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",240,,2019-04-13,72000,0,3.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,3.0,0,0,,,2 plantas,1,0,379494,6,,El Garrobo,"Calle Juan Ramon Jimenez, 5"," Calle Juan Ramon Jimenez, 5 , El Garrobo , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",97,87,2019-04-13,79000,0,4.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,2.0,1,0,,no indicado,2 plantas,1,1,26856836,1,,El Castillo de las Guardas,"Calle Arroyo, 1"," Calle Arroyo, 1 , El Castillo de las Guardas , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",100,150,2019-04-13,150000,0,4.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,2 plantas,0,0,36849155,2,,El Pedroso,"Calle Gran Capitán, 4"," Calle Gran Capitán, 4 , El Pedroso , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",195,,2019-04-13,100000,0,4.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,1,,,2 plantas,0,0,38052790,2,,El Castillo de las Guardas,"Calle Santa Cruz, 26"," Calle Santa Cruz, 26 , El Castillo de las Guardas , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",101,,2019-04-13,100000,0,3.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,2 plantas,0,0,39159978,6,,El Ronquillo,"Calle Guadalquivir, 15"," Calle Guadalquivir, 15 , El Ronquillo , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",180,,2019-04-13,95000,0,3.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,2 plantas,0,1,82602079,5,,Castilblanco de los Arroyos,"Calle Almería, 15"," Calle Almería, 15 , Castilblanco de los Arroyos , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",1000,,2019-04-13,115000,0,3.0,0,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,,0,0,39951655,2,,Cazalla de la Sierra,"Calle Parras, 21"," Calle Parras, 21 , Cazalla de la Sierra , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",90,70,2019-04-13,49000,0,2.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,1950,no indicado,1 planta,0,0,82686914,7,,El Ronquillo,"Calle Juan Ramon Jimenez, 30"," Calle Juan Ramon Jimenez, 30 , El Ronquillo , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",150,,2019-04-13,32000,0,3.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
