ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_calefacción individual: gasoil,heating_heating,heating_no dispone de calefacción,heating_no dispone de calefacción: gas natural,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 29 de marzo,0,0,1.0,0,0,1962,,planta 3ª exterior,0,0,84867311,16,0,Donostia-San Sebastián,Distrito Altza-Bidebieta," , Barrio Altza , Distrito Altza-Bidebieta , Donostia-San Sebastián , Donostialdea, Guipúzcoa ",Barrio Altza,"Donostialdea, Guipúzcoa",58,,2019-04-01,700,0,1.0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 6 de febrero,0,0,1.0,0,0,,en trámite,planta 4ª exterior,0,0,39110373,16,1,Donostia-San Sebastián,Distrito Antiguo," Escolta real , Distrito Antiguo , Donostia-San Sebastián , Donostialdea, Guipúzcoa ",Escolta real,"Donostialdea, Guipúzcoa",55,45,2019-04-01,900,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Anuncio actualizado el 5 de septiembre,0,0,2.0,1,0,1970,en trámite,planta 1ª exterior,0,1,81132079,16,1,Hondarribia,Urb. SI," URBANIZACION ERREZUBI , Urb. SI , Hondarribia , Bajo Bidasoa, Guipúzcoa ",URBANIZACION ERREZUBI,"Bajo Bidasoa, Guipúzcoa",90,76,2019-04-01,1250,0,3.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 29 de marzo,0,0,2.0,0,0,1960,,planta 1ª,0,0,84188512,16,1,Donostia-San Sebastián,Distrito Amara," Madrid Etorbidea , Barrio Amara , Distrito Amara , Donostia-San Sebastián , Donostialdea, Guipúzcoa ",Barrio Amara,"Donostialdea, Guipúzcoa",195,150,2019-04-01,1200,0,4.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Anuncio actualizado el 22 de marzo,0,0,3.0,0,0,1950,,planta 4ª exterior,0,0,36337165,16,1,Donostia-San Sebastián,Distrito Antiguo," De Zumalakarregi Hiribidea , Distrito Antiguo , Donostia-San Sebastián , Donostialdea, Guipúzcoa ",De Zumalakarregi Hiribidea,"Donostialdea, Guipúzcoa",190,160,2019-04-01,1600,0,4.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Anuncio actualizado el 25 de marzo,0,1,2.0,0,0,2018,en trámite,planta 4ª exterior,1,0,84795899,16,1,Donostia-San Sebastián,Distrito Loiola-Martutene," Kristobaldegi , Distrito Loiola-Martutene , Donostia-San Sebastián , Donostialdea, Guipúzcoa ",Kristobaldegi,"Donostialdea, Guipúzcoa",75,72,2019-04-01,1100,1,3.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 28 de marzo,0,0,1.0,0,0,,en trámite,bajo exterior,0,0,33202670,16,0,Donostia-San Sebastián,Distrito Antiguo," escolta real , Distrito Antiguo , Donostia-San Sebastián , Donostialdea, Guipúzcoa ",escolta real,"Donostialdea, Guipúzcoa",50,,2019-04-01,700,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 29 de marzo,0,0,1.0,0,0,,en trámite,planta 1ª,0,0,84853429,16,1,Donostia-San Sebastián,Distrito Amara," Calle Balleneros , Barrio Amara , Distrito Amara , Donostia-San Sebastián , Donostialdea, Guipúzcoa ",Barrio Amara,"Donostialdea, Guipúzcoa",60,57,2019-04-01,850,0,3.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 27 de marzo,0,0,1.0,1,0,,,planta 4ª interior,0,0,35524235,16,1,Pasaia,Calle Maiatzaren Lehena," Calle Maiatzaren Lehena , Pasaia , Donostialdea, Guipúzcoa ",,"Donostialdea, Guipúzcoa",50,42,2019-04-01,650,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 18 de marzo,0,0,1.0,1,0,,en trámite,exterior,0,0,82355418,16,1,Donostia-San Sebastián,Distrito Gros," Calle Usandizaga , Distrito Gros , Donostia-San Sebastián , Donostialdea, Guipúzcoa ",Calle Usandizaga,"Donostialdea, Guipúzcoa",75,65,2019-04-01,1300,0,2.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 5 de marzo,0,0,2.0,0,0,,,planta 2ª exterior,0,0,82582230,16,1,Donostia-San Sebastián,Distrito Centro-Miraconcha," Calle Hondarribia , Barrio Área Romántica , Distrito Centro-Miraconcha , Donostia-San Sebastián , Donostialdea, Guipúzcoa ",Barrio Área Romántica,"Donostialdea, Guipúzcoa",60,58,2019-04-01,1100,0,2.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 18 de marzo,1,1,1.0,1,0,,en trámite,interior,0,0,83589354,16,1,Donostia-San Sebastián,Distrito Centro-Miraconcha," Calle Bergara , Barrio Área Romántica , Distrito Centro-Miraconcha , Donostia-San Sebastián , Donostialdea, Guipúzcoa ",Barrio Área Romántica,"Donostialdea, Guipúzcoa",60,54,2019-04-01,1300,0,2.0,1,0,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 18 de marzo,0,1,1.0,1,0,,en trámite,interior,0,0,83769728,16,1,Donostia-San Sebastián,Distrito Centro-Miraconcha," Calle Prim , Barrio Área Romántica , Distrito Centro-Miraconcha , Donostia-San Sebastián , Donostialdea, Guipúzcoa ",Barrio Área Romántica,"Donostialdea, Guipúzcoa",55,45,2019-04-01,1200,0,1.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 20 de febrero,0,0,1.0,1,0,,en trámite,planta 4ª exterior,0,0,39196090,16,1,Donostia-San Sebastián,Distrito Centro-Miraconcha," Paseo De Los Fueros , Barrio Área Romántica , Distrito Centro-Miraconcha , Donostia-San Sebastián , Donostialdea, Guipúzcoa ",Barrio Área Romántica,"Donostialdea, Guipúzcoa",85,75,2019-04-01,1300,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 21 de marzo,0,0,2.0,0,0,1974,en trámite,planta 2ª exterior,0,1,38570751,16,1,Donostia-San Sebastián,Distrito Centro-Miraconcha," , Barrio Área Romántica , Distrito Centro-Miraconcha , Donostia-San Sebastián , Donostialdea, Guipúzcoa ",Barrio Área Romántica,"Donostialdea, Guipúzcoa",125,110,2019-04-01,1700,0,3.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
