price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,air_conditioner,balcony,built_in_wardrobe,chimney,garage,garden,lift,reduced_mobility,storage_room,swimming_pool,terrace
770,1,1,15,84568279,89,85.0,Amorebieta-Echano,"Duranguesado, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
770,1,1,15,81797902,89,85.0,Amorebieta-Echano,"Duranguesado, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
990,1,1,15,84604987,96,85.0,Amorebieta-Echano,"Duranguesado, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
990,1,1,15,84604988,96,85.0,Amorebieta-Echano,"Duranguesado, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
990,1,1,15,84604989,108,85.0,Amorebieta-Echano,"Duranguesado, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
770,1,1,15,84604990,89,85.0,Amorebieta-Echano,"Duranguesado, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
1600,2,3,15,39115255,150,85.0,Getxo,"Gran Bilbao, Vizcaya",1976.0,0,0,0,0,1,0,0.0,0,0,0,0
900,2,2,15,81759236,67,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,0
800,1,1,15,28894716,65,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
700,1,2,15,84524002,60,55.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,0,1,0,0,0,1.0,0,0,0,0
600,1,3,15,645791,90,85.0,Gernika-Lumo,"Busturialdea, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
980,2,0,20,30237600,55,53.0,Bermeo,"Busturialdea, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
1150,1,2,15,81897679,80,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,0,1,0,0,0,1.0,0,0,0,0
850,1,2,15,39913422,80,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,1,1,0,0,0,0.0,0,0,0,0
2200,1,1,15,81240627,47,45.0,Bakio,"Uribe-Butroe, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
950,1,2,15,82826167,110,78.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,1,0,0,0,0,0.0,0,0,0,0
800,1,1,15,82905413,60,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,0,1,0,0,0,1.0,0,0,0,1
900,1,1,15,83935786,60,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,1,1,0,0,0,1.0,0,0,0,0
1200,2,4,15,1127149,130,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,1,1,0,0,0,1.0,0,0,0,0
750,2,3,16,84342916,120,110.0,Sopelana,"Uribe-Butroe, Vizcaya",1976.0,0,0,1,0,1,0,0.0,0,0,0,1
950,2,4,15,35495396,110,85.0,Plentzia,"Uribe-Butroe, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,1,0,1
1150,1,2,15,84330143,80,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,0,1,0,1,0,1.0,0,0,0,1
750,1,1,15,36996701,55,45.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
1395,2,3,15,83942483,114,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,0,1,0,0,0,1.0,0,0,0,0
2150,2,3,15,84421883,100,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,0,1,0,1,0,1.0,1,0,0,0
1050,2,3,15,84797814,100,85.0,Getxo,"Gran Bilbao, Vizcaya",1976.0,0,0,1,0,1,0,1.0,0,1,0,1
500,2,2,15,84086628,74,85.0,Ibarranguelua,"Busturialdea, Vizcaya",1976.0,0,0,0,0,1,0,1.0,0,1,0,0
1000,1,1,15,32091044,70,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,0,1,0,1,0,1.0,0,1,0,0
1500,2,3,15,37317585,100,85.0,Ibarranguelua,"Busturialdea, Vizcaya",1976.0,0,1,1,0,0,0,0.0,0,0,0,0
900,2,2,15,27306684,80,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,0
2200,1,4,15,997889,90,85.0,Lemoiz,"Uribe-Butroe, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
675,1,3,15,25151205,100,85.0,Plentzia,"Uribe-Butroe, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,0
1200,2,3,15,37466077,95,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,0
1150,1,3,15,1064040,85,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,0,1,0,1,0,1.0,1,0,0,0
850,2,2,15,83558713,65,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,1,1,0,0,0,1.0,0,0,0,0
1000,1,3,15,83722375,100,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,1,1,0,0,0,1.0,0,0,0,0
850,2,3,15,39926158,100,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,1,1,0,0,0,1.0,0,0,0,0
700,1,3,15,83048707,80,70.0,Portugalete,"Gran Bilbao, Vizcaya",1976.0,0,0,1,0,0,0,0.0,0,0,0,0
725,2,2,15,33567458,70,60.0,Barakaldo,"Gran Bilbao, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
850,1,3,15,1355034,75,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,1,0,0,0,0,1.0,0,0,0,0
850,1,1,15,83966649,52,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,0,0,0,1,0,1.0,0,0,0,0
900,1,3,15,84211681,90,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,1,1,0,0,0,1.0,0,0,0,0
800,1,3,15,30483801,80,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,0,1,0,0,0,1.0,0,0,0,0
900,2,2,15,84243524,80,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,0,1,0,0,0,1.0,0,0,0,0
1200,2,4,15,491721,110,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,0,1,0,0,0,1.0,0,0,0,0
1500,3,4,15,27648042,130,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,1,1,0,1,0,1.0,1,0,0,0
1400,2,4,15,26073879,120,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,0,1,0,0,0,1.0,0,0,0,0
900,1,3,15,38785885,78,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,0,1,0,0,0,1.0,0,0,0,0
850,2,3,21,39553129,180,85.0,Ajangiz,"Busturialdea, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,0
950,2,4,15,82023796,135,117.0,Abanto y Ciérvana/Abanto Zierbena,"Gran Bilbao, Vizcaya",1976.0,0,0,1,0,0,0,1.0,0,1,0,1
665,1,2,15,82382398,60,55.0,Portugalete,"Gran Bilbao, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,0
850,1,2,15,82513509,65,60.0,Leioa,"Gran Bilbao, Vizcaya",1976.0,0,0,1,0,1,1,1.0,0,1,1,1
650,1,1,15,82550517,50,45.0,Barakaldo,"Gran Bilbao, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,0
850,2,3,16,82962868,100,85.0,Orduña,"Arratia-Nervión, Vizcaya",2006.0,0,0,1,0,0,0,1.0,1,0,0,0
950,1,2,15,84209368,50,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,0,1,0,1,0,1.0,0,0,0,0
800,1,2,15,84495926,75,85.0,Sopelana,"Uribe-Butroe, Vizcaya",1976.0,0,0,1,0,1,0,1.0,0,0,0,1
750,1,1,16,84642925,70,60.0,Getxo,"Gran Bilbao, Vizcaya",1976.0,0,0,1,0,1,0,1.0,0,0,0,0
1175,2,3,15,81554859,98,86.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,0
1450,3,4,15,82256006,130,85.0,Getxo,"Gran Bilbao, Vizcaya",1976.0,0,0,1,0,1,0,1.0,0,1,0,0
1400,2,4,15,39928866,160,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,0
1800,3,4,18,82995953,220,85.0,Barrika,"Uribe-Butroe, Vizcaya",1978.0,0,1,1,0,1,1,1.0,0,1,0,0
800,1,3,15,38884350,75,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,0
850,1,1,17,84195625,60,48.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,1
825,1,3,17,84359892,80,85.0,Getxo,"Gran Bilbao, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
900,1,3,15,84419908,80,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,0,1,0,0,0,1.0,0,0,0,0
800,2,3,15,84427117,98,93.0,Barakaldo,"Gran Bilbao, Vizcaya",1976.0,0,0,0,0,1,0,1.0,0,0,0,1
950,2,3,15,84529370,80,75.0,Barakaldo,"Gran Bilbao, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
1200,2,4,15,84676393,100,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,1,0,0,1,0,1.0,0,0,0,0
675,1,3,15,84678105,65,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,0
1000,1,3,15,83833780,97,87.0,Bilbao,"Gran Bilbao, Vizcaya",1990.0,0,1,1,0,0,0,1.0,0,0,0,0
620,1,1,15,27304761,48,45.0,Portugalete,"Gran Bilbao, Vizcaya",1976.0,0,0,1,0,0,0,1.0,0,0,0,0
600,2,3,16,25137133,120,100.0,Sopuerta,"Encartaciones, Vizcaya",1976.0,0,0,1,0,0,1,1.0,1,0,1,0
800,1,1,15,82659203,60,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,0,1,0,0,0,1.0,0,0,0,1
1700,3,5,15,83411058,240,220.0,Getxo,"Gran Bilbao, Vizcaya",1976.0,0,0,1,0,1,0,1.0,0,0,0,1
700,1,2,15,83424261,56,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,1,0,0,0,0,1.0,0,0,0,0
750,1,2,15,27285777,55,50.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,0,0,0,0,0,1.0,1,0,0,0
1200,2,2,15,83726336,85,75.0,Mungia,"Uribe-Butroe, Vizcaya",1976.0,0,0,1,0,1,0,1.0,0,1,0,1
1500,1,4,15,84265748,150,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,1
1150,1,3,15,84372300,75,65.0,Bilbao,"Gran Bilbao, Vizcaya",1980.0,0,1,0,0,0,0,1.0,0,0,0,0
850,2,2,17,84429852,88,85.0,Barakaldo,"Gran Bilbao, Vizcaya",1976.0,0,1,1,0,0,1,1.0,0,0,0,1
850,1,3,15,81604978,90,85.0,Sestao,"Gran Bilbao, Vizcaya",1976.0,0,1,0,0,0,0,1.0,1,0,0,0
900,2,3,15,32492639,110,95.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,0,1,0,0,0,1.0,0,0,0,1
1000,3,4,18,36275601,10000,238.0,Markina-Xemein,"Lea-Artibai, Vizcaya",1976.0,0,0,1,0,1,1,1.0,0,1,0,1
850,1,1,15,83720760,65,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
