ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
más de 5 meses sin actualizar,0,0,2.0,0,1,,,2 plantas,1,1,34343065,7,,Camprodon,Urb. Font rubi," font rubi s/n , Urb. Font rubi , Camprodon , Ripollès, Girona ",font rubi s/n,"Ripollès, Girona",800,,2019-04-15,240000,0,3.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,en trámite,bajo exterior,0,1,1802871,1,1,Sant Joan de les Abadesses,"Calle del Roser, 1"," Calle del Roser, 1 , Sant Joan de les Abadesses , Ripollès, Girona ",,"Ripollès, Girona",85,70,2019-04-15,100000,0,3.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,1,,en trámite,3 plantas,0,1,30052249,8,,Planoles,"Calle de Ribes, 1"," Calle de Ribes, 1 , Planoles , Ripollès, Girona ",,"Ripollès, Girona",150,,2019-04-15,135000,0,4.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
más de 5 meses sin actualizar,0,0,1.0,1,0,,no indicado,planta 3ª exterior,0,0,1889948,2,0,Sant Joan de les Abadesses,"Calle Abat Velmanya, 6"," Calle Abat Velmanya, 6 , Sant Joan de les Abadesses , Ripollès, Girona ",,"Ripollès, Girona",60,,2019-04-15,130000,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,en trámite,planta 2ª exterior,0,0,35426917,1,1,Ripoll,Urb. c/barcelona," Calle de Josep Mª Pellicer, 43 , Urb. c/barcelona , Ripoll , Ripollès, Girona ","Calle de Josep Mª Pellicer, 43","Ripollès, Girona",125,,2019-04-15,124000,0,4.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
más de 5 meses sin actualizar,0,1,2.0,0,0,,,planta 2ª exterior,0,0,82254095,4,0,Llanars,"Calle dels Sicars, 3"," Calle dels Sicars, 3 , Llanars , Ripollès, Girona ",,"Ripollès, Girona",122,,2019-04-15,209000,0,4.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,1,0,,,2 plantas,1,1,34223883,3,,Camprodon,Urb. Font-Rubí," solana, 122 , Urb. Font-Rubí , Camprodon , Ripollès, Girona ","solana, 122","Ripollès, Girona",800,,2019-04-15,210000,0,4.0,0,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
más de 5 meses sin actualizar,0,1,2.0,1,0,,no indicado,planta 3ª exterior,0,0,40031692,4,0,Ribes de Freser,"Carretera de Pardines, 23"," Carretera de Pardines, 23 , Ribes de Freser , Ripollès, Girona ",,"Ripollès, Girona",130,,2019-04-15,169000,0,3.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,1,0,,,bajo exterior,1,1,38671035,1,1,Sant Pau de Segúries,"Paseo costabona, 2"," Paseo costabona, 2 , Sant Pau de Segúries , Ripollès, Girona ",,"Ripollès, Girona",104,,2019-04-15,210000,0,3.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,3.0,1,0,,en trámite,3 plantas,1,1,34217117,9,,Camprodon,"Calle d'alexandre gali, 27"," Calle d'alexandre gali, 27 , Camprodon , Ripollès, Girona ",,"Ripollès, Girona",120,,2019-04-15,240000,0,5.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 21 de noviembre,0,0,2.0,0,0,,en trámite,planta 1ª exterior,0,0,27672800,1,0,Ripoll,"Carretera Olot, 6"," Carretera Olot, 6 , Ripoll , Ripollès, Girona ",,"Ripollès, Girona",117,,2019-04-15,130000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 31 de marzo,0,0,1.0,1,0,,no indicado,planta 4ª exterior,0,0,39780145,2,0,Camprodon,"Calle Josep Morer, 18"," Calle Josep Morer, 18 , Camprodon , Ripollès, Girona ",,"Ripollès, Girona",68,,2019-04-15,80000,0,2.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 12 de diciembre,0,0,1.0,0,0,,no indicado,planta 1ª exterior,0,0,83561149,1,1,Camprodon,"Calle Josep Morer, 34"," Calle Josep Morer, 34 , Camprodon , Ripollès, Girona ",,"Ripollès, Girona",62,56,2019-04-15,129000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 13 de febrero,0,0,2.0,0,0,,en trámite,2 plantas,1,0,38927005,3,,Ogassa,"Camino Sant Amat, 4"," Camino Sant Amat, 4 , Ogassa , Ripollès, Girona ",,"Ripollès, Girona",800,,2019-04-15,240000,0,3.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 17 de marzo,0,1,3.0,0,0,,,,1,1,84590436,9,,Campdevánol,"Calle Corones, 18"," Calle Corones, 18 , Campdevánol , Ripollès, Girona ",,"Ripollès, Girona",275,,2019-04-15,255000,0,4.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 8 de abril,0,0,1.0,0,0,,en trámite,bajo exterior,0,0,84984415,1,0,Vilallonga de Ter,"Calle del Cordomí, 8"," Calle del Cordomí, 8 , Vilallonga de Ter , Ripollès, Girona ",,"Ripollès, Girona",80,,2019-04-15,220000,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 22 de noviembre,0,0,2.0,0,0,,no indicado,,0,0,40373124,10,,Ripoll,Urbanitzacio la Torre," Urbanitzacio la Torre , Ripoll , Ripollès, Girona ",,"Ripollès, Girona",462,277,2019-04-15,99000,0,0.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 22 de noviembre,0,0,2.0,0,0,,no indicado,,0,0,40373125,10,,Ripoll,Urbanitzacio la Torre," Urbanitzacio la Torre , Ripoll , Ripollès, Girona ",,"Ripollès, Girona",400,240,2019-04-15,121000,0,0.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 22 de noviembre,0,0,2.0,0,0,,no indicado,,0,0,40373126,10,,Ripoll,Urbanitzacio la Torre," Urbanitzacio la Torre , Ripoll , Ripollès, Girona ",,"Ripollès, Girona",400,240,2019-04-15,126500,0,0.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 22 de noviembre,0,0,2.0,0,0,,no indicado,,0,0,40373127,10,,Ripoll,Urbanitzacio la Torre," Urbanitzacio la Torre , Ripoll , Ripollès, Girona ",,"Ripollès, Girona",400,240,2019-04-15,145200,0,0.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 22 de noviembre,0,0,2.0,0,0,,no indicado,,0,0,40373138,10,,Ripoll,Urbanitzacio la Torre," Urbanitzacio la Torre , Ripoll , Ripollès, Girona ",,"Ripollès, Girona",711,427,2019-04-15,121000,0,0.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 22 de noviembre,0,0,2.0,0,0,,no indicado,,0,0,40373139,10,,Ripoll,Urbanitzacio la Torre," Urbanitzacio la Torre , Ripoll , Ripollès, Girona ",,"Ripollès, Girona",408,245,2019-04-15,99000,0,0.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 22 de noviembre,0,0,2.0,0,0,,no indicado,,0,0,40373140,10,,Ripoll,Urbanitzacio la Torre," Urbanitzacio la Torre , Ripoll , Ripollès, Girona ",,"Ripollès, Girona",412,247,2019-04-15,99000,0,0.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
