ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gas natural,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 21 de marzo,0,1,2.0,1,0,1991,en trámite,planta 1ª exterior,1,0,83310462,0,1,Pinto,Distrito Centro - Ayuntamiento," , Distrito Centro - Ayuntamiento , Pinto , Zona sur, Madrid ",,"Zona sur, Madrid",131,,2019-04-12,229900,0,3.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 7 de abril,1,0,1.0,1,0,,en trámite,planta 2ª exterior,0,0,84134130,3,0,Pinto,Distrito San José - Buenos Aires," Calle de San José, 3 , Distrito San José - Buenos Aires , Pinto , Zona sur, Madrid ","Calle de San José, 3","Zona sur, Madrid",58,,2019-04-12,103000,0,1.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 21 de marzo,0,0,1.0,0,0,,en trámite,planta 2ª exterior,0,0,84397306,0,1,Pinto,Distrito Parque Europa - Los Pitufos," , Distrito Parque Europa - Los Pitufos , Pinto , Zona sur, Madrid ",,"Zona sur, Madrid",96,75,2019-04-12,156000,0,3.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 14 de marzo,0,0,1.0,0,0,,en trámite,planta 4ª exterior,0,0,84459166,0,0,Pinto,Distrito Centro - Ayuntamiento," , Distrito Centro - Ayuntamiento , Pinto , Zona sur, Madrid ",,"Zona sur, Madrid",79,66,2019-04-12,90000,0,3.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 28 de marzo,1,0,1.0,1,0,,en trámite,planta 2ª exterior,0,0,84501110,0,0,Pinto,Distrito Centro - Ayuntamiento," , Distrito Centro - Ayuntamiento , Pinto , Zona sur, Madrid ",,"Zona sur, Madrid",77,65,2019-04-12,129900,0,3.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 4 de abril,0,0,1.0,1,0,,en trámite,planta 2ª exterior,0,0,84877363,0,0,Pinto,Distrito Centro - Ayuntamiento," , Distrito Centro - Ayuntamiento , Pinto , Zona sur, Madrid ",,"Zona sur, Madrid",70,69,2019-04-12,129000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 25 de marzo,0,0,1.0,1,0,,no indicado,entreplanta exterior,1,1,1620644,0,1,Pinto,Distrito San José - Buenos Aires," Calle Nicolás Fuster, 9 , Urb. princesa de eboli , Distrito San José - Buenos Aires , Pinto , Zona sur, Madrid ",Urb. princesa de eboli,"Zona sur, Madrid",79,60,2019-04-12,180000,1,1.0,1,1,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 11 de febrero,0,0,1.0,0,0,,no indicado,planta 2ª exterior,0,0,304923,0,1,Pinto,Distrito San José - Buenos Aires," Calle Cañada Real de Toledo, 3 , Distrito San José - Buenos Aires , Pinto , Zona sur, Madrid ","Calle Cañada Real de Toledo, 3","Zona sur, Madrid",65,,2019-04-12,135000,0,2.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 8 de abril,1,1,1.0,1,0,,en trámite,planta 1ª exterior,0,0,1880887,0,0,Pinto,Distrito Centro - Ayuntamiento," Calle Molino, 6 , Distrito Centro - Ayuntamiento , Pinto , Zona sur, Madrid ","Calle Molino, 6","Zona sur, Madrid",55,50,2019-04-12,180000,0,1.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 5 de marzo,1,0,2.0,1,0,,no indicado,planta 2ª exterior,0,0,2050197,3,1,Pinto,Distrito Centro - Ayuntamiento," Calle San Francisco Javier, 9 , Distrito Centro - Ayuntamiento , Pinto , Zona sur, Madrid ","Calle San Francisco Javier, 9","Zona sur, Madrid",80,70,2019-04-12,199900,0,2.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
