ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, oeste"
más de 5 meses sin actualizar,1,1,2.0,1,0,,no indicado,2 plantas,0,0,82464564,2,,Cabezas Rubias,"Calle Doctor Macias, 1"," Calle Doctor Macias, 1 , Cabezas Rubias , El Andévalo, Huelva ",,"El Andévalo, Huelva",170,,2019-04-13,115000,1,4.0,1,0,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,1,0,,inmueble exento,2 plantas,1,1,39505472,3,,Villanueva de los Castillejos,"Calle El Granado, 25"," Calle El Granado, 25 , Villanueva de los Castillejos , El Andévalo, Huelva ",,"El Andévalo, Huelva",150,95,2019-04-13,65000,0,5.0,0,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
más de 5 meses sin actualizar,1,0,1.0,0,0,,no indicado,,0,0,443899,3,,Alosno,"Barrio de Pueblo Nuevo, 1"," Barrio de Pueblo Nuevo, 1 , Alosno , El Andévalo, Huelva ",,"El Andévalo, Huelva",121,90,2019-04-13,65000,0,3.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,2 plantas,0,0,31459643,2,,Santa Barbara de Casa,"barriada nueva, 20"," barriada nueva, 20 , Santa Barbara de Casa , El Andévalo, Huelva ",,"El Andévalo, Huelva",90,,2019-04-13,90000,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,,0,0,341750,1,,Nerva,"Calle Augusto, 60"," Calle Augusto, 60 , Nerva , El Andévalo, Huelva ",,"El Andévalo, Huelva",120,,2019-04-13,70000,0,4.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,2.0,1,0,,no indicado,2 plantas,0,0,37880223,2,,Minas de Riotinto,"Calle Santa Barbara, 38"," Calle Santa Barbara, 38 , Minas de Riotinto , El Andévalo, Huelva ",,"El Andévalo, Huelva",110,,2019-04-13,45000,0,3.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,en trámite,planta 1ª exterior,0,0,40161481,4,0,Valverde del Camino,"Calle Cabecillo de Martín Sánchez, 7 A"," Calle Cabecillo de Martín Sánchez, 7 A , Valverde del Camino , El Andévalo, Huelva ",,"El Andévalo, Huelva",105,,2019-04-13,49900,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,bajo exterior,0,0,81149608,4,0,Valverde del Camino,"Calle Carpinteros, 11"," Calle Carpinteros, 11 , Valverde del Camino , El Andévalo, Huelva ",,"El Andévalo, Huelva",92,,2019-04-13,59000,0,3.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,3.0,0,0,,no indicado,,1,1,82029644,1,,El Campillo,"Pozo Guillermo, 26"," Pozo Guillermo, 26 , El Campillo , El Andévalo, Huelva ",,"El Andévalo, Huelva",1060,,2019-04-13,160000,0,5.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,,0,0,82140803,3,,Minas de Riotinto,"Calle Manuel de Falla, 11"," Calle Manuel de Falla, 11 , Minas de Riotinto , El Andévalo, Huelva ",,"El Andévalo, Huelva",70,,2019-04-13,35000,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,planta 1ª exterior,0,0,82342845,4,0,Zalamea la Real,"Calle San Vicente, 2"," Calle San Vicente, 2 , Zalamea la Real , El Andévalo, Huelva ",,"El Andévalo, Huelva",70,,2019-04-13,60000,0,2.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
