ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: eléctrica,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
más de 5 meses sin actualizar,0,1,3.0,1,1,,en trámite,3 plantas,0,0,82372495,5,,Biar,"Calle Carriles, 14"," Calle Carriles, 14 , Biar , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",160,145,2019-04-14,100000,0,3.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,planta 3ª exterior,0,0,433944,2,0,Sax,"Calle Pintor Velazquez, 7"," Calle Pintor Velazquez, 7 , Sax , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",130,124,2019-04-14,36000,0,4.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,2.0,1,0,,,planta 1ª interior,1,0,28323763,2,1,Villena,"Calle de la Corredera, 20"," Calle de la Corredera, 20 , Villena , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",100,94,2019-04-14,139000,0,3.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,bajo exterior,1,0,32461580,8,0,Sax,"Calle gracián, 4"," Calle gracián, 4 , Sax , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",260,258,2019-04-14,115000,0,4.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,1,0,,no indicado,2 plantas,1,1,1764763,1,,Biar,Urb. NaVARRO," Calle Baranquet, 2 , Urb. NaVARRO , Biar , Alt Vinalopó, Alicante ","Calle Baranquet, 2","Alt Vinalopó, Alicante",590,162,2019-04-14,200000,0,5.0,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
más de 5 meses sin actualizar,1,0,2.0,0,0,,,planta 2ª exterior,1,0,37133863,2,1,Villena,"Zona bulevar maestro Carrascosa, 99"," Zona bulevar maestro Carrascosa, 99 , Villena , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",113,95,2019-04-14,142000,0,4.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
más de 5 meses sin actualizar,1,0,2.0,0,0,,,planta 60ª exterior,1,0,38092451,2,1,Villena,"Calle Compositor Maestro Manuel Carrascosa, 10000"," Calle Compositor Maestro Manuel Carrascosa, 10000 , Villena , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",113,,2019-04-14,142000,0,4.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
más de 5 meses sin actualizar,1,0,2.0,0,0,,no indicado,2 plantas,1,0,374176,3,,Villena,"Calle Cardenal Cisneros, 52"," Calle Cardenal Cisneros, 52 , Villena , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",147,125,2019-04-14,165000,0,3.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,2.0,0,0,,en trámite,planta 2ª exterior,1,0,37126013,2,1,Villena,"Calle Compositor Maestro Manuel Carrascosa, 12"," Calle Compositor Maestro Manuel Carrascosa, 12 , Villena , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",113,95,2019-04-14,139000,0,4.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
más de 5 meses sin actualizar,0,0,2.0,1,0,,no indicado,2 plantas,1,1,1634435,1,,Villena,"Calle Casas de Cabanes y las Fuentes, 22"," Calle Casas de Cabanes y las Fuentes, 22 , Villena , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",3800,200,2019-04-14,250000,0,6.0,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
